Distance (nm)	Force (pN)	ForceErr (pN)
249.998	0.766551	0.0172221
252.598	0.799549	0.0144389
255.198	0.83549	0.00631568
265.598	0.992652	0.0211667
268.199	1.02488	0.0118024
273.398	1.12919	0.0217394
275.998	1.10778	0.0192218
278.599	1.18746	0.0143972
283.798	1.31715	0.0106462
286.398	1.40346	0.0159434
288.998	1.42914	0.00730699
291.598	1.56275	0.0183222
294.198	1.66073	0.0161194
296.799	1.70353	0.0147244
299.398	1.73811	0.0151872
301.998	1.85616	0.00912997
304.598	1.95166	0.0128064
307.198	2.11535	0.00968432
309.798	2.16799	0.0110522
312.398	2.29291	0.00903774
314.998	2.3987	0.0147997
317.598	2.53877	0.00988363
320.198	2.69104	0.00952231
322.799	2.81975	0.00727146
325.398	2.95426	0.00866543
327.998	3.11461	0.0145878
330.599	3.2695	0.0145647
333.198	3.42859	0.00853331
335.798	3.62395	0.0116108
338.398	3.77843	0.0104162
340.998	3.93716	0.00910392
343.598	4.12588	0.0137488
346.198	4.27912	0.011398
348.798	4.51476	0.0130097
351.398	4.70043	0.00810472
353.999	4.88644	0.0118312
356.599	5.06878	0.0110834
359.199	5.30771	0.0133799
361.798	5.49528	0.0139644
364.399	5.69085	0.0116108
366.998	5.90834	0.00990324
369.598	6.1457	0.00964525
372.199	6.35507	0.0231098
374.798	6.59277	0.0137452
377.398	6.82305	0.018922
379.999	7.03507	0.0197687
382.598	7.27048	0.0154254
385.198	7.50588	0.0201145
387.799	7.70415	0.019335
390.399	7.94911	0.0140288
392.998	8.19087	0.0114612
395.599	8.45056	0.0128793
398.198	8.67668	0.0156175
400.798	8.91192	0.0141245
403.398	9.16869	0.014818
405.998	9.40757	0.0111173
408.598	9.65785	0.0141744
416.399	10.4398	0.00831342
460.598	12.8363	0.169071
463.198	12.0669	0.0663965
465.798	12.0306	0.0152134
468.398	12.247	0.0138108
470.998	12.5273	0.017173
473.598	12.7379	0.0055281
478.798	13.2241	0.0128085
481.398	13.4662	0.00870465
483.998	13.7504	0.0120847
486.598	13.9856	0.00804949
489.198	14.2598	0.00976555
491.798	14.4984	0.0138166
494.398	14.7653	0.0135964
496.998	15.0268	0.0150698
499.598	15.267	0.0107466
502.198	15.532	0.0172501
504.798	15.8091	0.0146287
