Distance (nm)	Force (pN)	ForceErr (pN)
254.997	0.796489	0.081818
259.897	0.767695	0.0211254
262.347	0.820187	0.0171253
264.798	0.878577	0.0193891
267.248	0.928211	0.0210729
269.697	0.917151	0.0161008
272.147	0.958676	0.0305925
279.497	1.07247	0.0236567
284.398	1.21812	0.0307446
286.848	1.20119	0.0294888
289.297	1.30496	0.0259608
291.746	1.35813	0.0277964
299.097	1.50371	0.0304301
301.548	1.67222	0.0226457
303.998	1.75347	0.0278358
306.447	1.87412	0.0214724
308.896	1.88731	0.0325997
311.346	2.07079	0.0235667
313.796	2.12859	0.0245231
316.247	2.1573	0.0293275
318.698	2.26358	0.02319
321.148	2.33865	0.022273
326.046	2.5916	0.0190253
328.497	2.77672	0.0306599
330.947	2.90476	0.0266796
333.397	3.0487	0.0315786
335.846	3.19655	0.0295326
338.296	3.30479	0.0232491
340.747	3.49042	0.0288904
343.197	3.66197	0.027905
348.097	4.00786	0.0263868
350.546	4.23699	0.0320898
352.995	4.44079	0.038583
355.446	4.66292	0.031972
357.897	4.89383	0.0277098
360.348	5.03422	0.024517
362.797	5.29866	0.0266724
365.246	5.57194	0.0395023
367.696	5.77043	0.0305129
370.146	6.00007	0.0323578
375.046	6.45287	0.0342991
424.047	10.3854	0.0443415
426.498	10.5008	0.0534906
428.947	10.5001	0.0661135
431.396	10.5177	0.0384155
433.846	10.4321	0.0373741
436.297	10.5183	0.041185
441.197	10.5502	0.0472222
446.096	10.6604	0.0321178
458.347	10.2533	0.108688
460.796	10.1922	0.0775589
463.246	10.0088	0.0440934
465.697	10.1246	0.0215575
468.147	10.1823	0.0200571
470.597	10.3758	0.0210004
473.046	10.6308	0.0208123
475.496	10.8347	0.0289445
477.947	11.0757	0.0283204
480.396	11.2903	0.0340382
490.197	12.419	0.0316189
492.646	12.6611	0.0382062
495.096	12.8937	0.0338477
497.547	13.1334	0.0384669
