Distance (nm)	Force (pN)	ForceErr (pN)
230.046	1.09447	0.391501
235.999	0.354475	0.0138064
244.998	0.407427	0.016137
247.998	0.454924	0.0125799
253.998	0.499693	0.0138592
259.998	0.595405	0.0156354
265.998	0.692709	0.014168
271.998	0.775513	0.013906
274.998	0.836138	0.0171671
277.998	0.864267	0.0170323
280.998	0.949365	0.0118212
283.998	1.04643	0.0159385
286.998	1.16793	0.0148009
289.998	1.19896	0.0165156
292.998	1.30332	0.0195122
295.998	1.42706	0.0134131
298.998	1.56641	0.00932401
301.998	1.66867	0.0113537
304.998	1.77506	0.00937297
307.998	1.92106	0.00899632
310.998	2.08926	0.0170754
313.998	2.23386	0.0187002
316.998	2.40347	0.013307
319.998	2.61368	0.0151592
322.998	2.79867	0.0193521
325.998	3.00897	0.0209287
328.998	3.20131	0.014091
331.998	3.45285	0.0179189
334.998	3.68005	0.0151523
337.998	3.91735	0.0159721
340.998	4.15961	0.0129992
343.999	4.49999	0.0216576
346.998	4.70567	0.0189055
349.998	4.99036	0.0191127
352.998	5.25343	0.015991
358.998	5.85427	0.0180359
406.998	9.10593	0.0312865
409.998	9.04781	0.0315419
412.998	9.12837	0.0293627
415.998	9.14395	0.0313027
418.998	9.20201	0.0280492
421.998	9.27056	0.0340353
424.998	9.37976	0.0225857
427.998	9.36692	0.0329368
439.998	8.84261	0.0560272
442.998	8.71965	0.0267393
445.998	8.76916	0.0237876
448.998	8.9325	0.0140266
451.998	9.16993	0.0134021
454.998	9.4208	0.0114799
457.998	9.68635	0.0138139
460.998	9.96097	0.0137017
463.998	10.2188	0.013294
466.998	10.5121	0.0129298
469.998	10.8052	0.0116362
472.998	11.0768	0.0138365
475.998	11.3698	0.0137836
478.998	11.6498	0.0153321
481.998	11.9612	0.0153527
484.998	12.2659	0.0122108
487.998	12.5657	0.0135241
490.998	12.8763	0.0147244
493.998	13.1949	0.0166681
496.998	13.5006	0.0167706
499.998	13.8103	0.0178131
502.998	14.1426	0.0178567
505.998	14.4752	0.0171996
508.998	14.8247	0.0172355
511.998	15.123	0.0182717
514.998	15.461	0.0180418
517.998	15.8002	0.0190853
520.998	16.1438	0.0180448
523.998	16.4846	0.0195907
526.998	16.8322	0.0200895
