Distance (nm)	Force (pN)	ForceErr (pN)
264.998	0.555657	0.0208581
269.248	0.589737	0.0145402
273.498	0.644356	0.012748
277.748	0.675318	0.0104287
281.998	0.730121	0.0117482
286.249	0.8136	0.013126
290.498	0.871115	0.0130056
298.998	1.05214	0.0123239
303.248	1.17646	0.0122125
307.498	1.30498	0.012835
311.748	1.43401	0.0111458
315.998	1.57923	0.010856
320.249	1.73638	0.0137579
324.499	1.93146	0.013368
328.748	2.11061	0.0107772
332.998	2.33537	0.00893683
337.248	2.56236	0.0123236
341.499	2.80541	0.0129126
345.749	3.06795	0.0114999
349.998	3.36956	0.00981017
354.248	3.69048	0.012417
358.498	3.98679	0.0126138
362.748	4.30767	0.0111056
366.999	4.66409	0.0124092
371.248	4.99974	0.013189
375.498	5.33862	0.0127485
379.748	5.732	0.0138683
383.998	6.08411	0.0127802
409.498	8.20971	0.0146018
460.499	10.007	0.0197226
464.749	10.0501	0.0289394
468.999	10.0202	0.030686
481.748	9.81275	0.0290853
485.998	9.80295	0.024672
494.498	9.81442	0.0230075
498.748	9.86839	0.0195444
502.999	9.89842	0.0217637
528.499	9.82417	0.0208664
532.748	9.79043	0.0315894
536.998	9.67553	0.0148696
541.248	9.69588	0.0364824
545.498	9.64521	0.0208103
549.748	9.64426	0.0183823
553.998	9.65322	0.0187805
558.248	9.68447	0.0206881
579.499	9.61195	0.0283949
583.749	9.53099	0.0291323
587.998	9.61191	0.0155651
592.248	9.78827	0.0159295
596.498	10.0519	0.0153263
600.748	10.2683	0.0141493
604.999	10.5378	0.0135316
609.249	10.8282	0.0151619
613.498	11.098	0.0153391
617.748	11.386	0.0134851
621.998	11.655	0.0164766
626.248	11.9575	0.0150479
630.499	12.2522	0.0118221
634.749	12.547	0.0136296
638.998	12.8618	0.0111453
643.248	13.1405	0.012109
647.498	13.4621	0.0128378
651.748	13.7595	0.0146915
655.999	14.0897	0.0124558
660.249	14.4147	0.0135224
664.498	14.724	0.0167145
668.748	15.0386	0.0136652
672.998	15.3908	0.0152656
677.249	15.7003	0.016706
681.499	16.0421	0.0166586
685.748	16.3715	0.0176767
