Distance (nm)	Force (pN)	ForceErr (pN)
257.448	0.830162	0.0259589
259.899	0.853401	0.0112926
262.348	0.878611	0.0119331
269.698	1.01072	0.00939955
272.148	1.01093	0.0116668
274.598	1.07326	0.0105317
277.048	1.13482	0.0153346
279.498	1.18165	0.0118339
281.948	1.20317	0.0136545
284.398	1.32064	0.012941
289.298	1.43345	0.012604
291.748	1.49999	0.0111224
294.198	1.59633	0.00952535
296.649	1.65271	0.0104104
299.099	1.73816	0.0125595
301.548	1.82472	0.0111171
303.998	1.89114	0.0102835
306.448	1.99579	0.0146015
308.899	2.11198	0.0123553
311.348	2.19716	0.0112907
313.798	2.31242	0.0123444
316.248	2.44453	0.00985804
318.698	2.55961	0.0123197
321.149	2.66667	0.0140404
323.599	2.80972	0.0149901
326.048	2.95206	0.0138344
328.498	3.09114	0.0114563
330.948	3.24286	0.0119972
333.398	3.35132	0.012229
335.848	3.52204	0.0117565
338.298	3.67846	0.0124363
340.748	3.85827	0.0121729
343.198	4.01739	0.0127272
345.648	4.19235	0.0111058
348.098	4.37136	0.0119399
350.548	4.5642	0.0106402
352.998	4.72949	0.0133144
355.448	4.90521	0.0127774
357.898	5.09444	0.012677
360.349	5.32346	0.0137577
362.799	5.51424	0.0120097
365.248	5.71414	0.0101818
367.698	5.87709	0.0132975
370.148	6.08656	0.0113111
372.598	6.27571	0.0112606
375.048	6.50709	0.00856942
377.498	6.71177	0.00989225
379.948	6.91483	0.0105635
382.398	7.13782	0.0108538
384.848	7.33361	0.0106288
387.298	7.57501	0.00920271
436.298	10.3217	0.0337252
438.749	10.1318	0.0193868
441.198	10.1606	0.020049
443.648	10.3024	0.0149977
446.099	10.4062	0.0131166
448.548	10.5567	0.0115987
450.998	10.7687	0.012688
453.448	10.9775	0.0116144
455.898	11.1748	0.0115284
458.348	11.3812	0.0124303
460.798	11.6159	0.00902966
463.248	11.8253	0.0106216
465.698	12.0688	0.00904927
468.148	12.2779	0.0116699
470.598	12.5136	0.0088203
473.048	12.7401	0.00918509
475.498	12.9639	0.0114113
477.948	13.2105	0.0105173
480.398	13.4337	0.0101027
482.848	13.6719	0.00904129
485.298	13.926	0.00914467
487.748	14.1379	0.00987599
490.198	14.3985	0.00964393
492.648	14.6336	0.0101982
495.098	14.858	0.0107898
497.548	15.1006	0.0100491
