Distance (nm)	Force (pN)	ForceErr (pN)
249.998	0.502069	0.0102842
252.998	0.645836	0.0257047
258.998	0.679402	0.00897905
261.998	0.612752	0.0217507
264.999	0.712222	0.00430327
267.999	0.769401	0.00825163
273.999	0.831331	0.0226831
276.999	0.914784	0.0128622
279.999	0.922205	0.0246432
288.999	1.20328	0.0125875
291.999	1.31334	0.00779488
294.999	1.40657	0.0102283
297.999	1.48408	0.012614
300.999	1.65574	0.0224483
303.999	1.7535	0.00348922
306.999	1.80924	0.0159896
309.999	1.98521	0.00806266
312.999	2.14891	0.0228042
315.999	2.25103	0.00734497
318.999	2.425	0.00493682
321.999	2.54468	0.0192663
324.999	2.76858	0.0131834
327.999	2.93746	0.00647377
330.999	3.12557	0.00261549
333.999	3.32101	0.00117249
336.999	3.51877	0.0046514
339.999	3.74589	0.0201311
342.999	3.95902	0.0205785
345.999	4.17502	0.0104055
348.999	4.39447	0.00800763
351.999	4.64932	0.00237991
354.999	4.88925	0.0163819
357.999	5.17276	0.00183009
360.999	5.40175	0.00477277
363.999	5.66392	0.00678253
366.999	5.91971	0.00636174
369.999	6.15872	0.0142464
372.999	6.46967	0.00497325
375.999	6.72227	0.0104234
378.999	7.02259	0.00655259
381.999	7.28069	0.016167
387.999	7.84397	0.0214634
390.999	8.15599	0.0156212
393.999	8.45841	0.0162956
396.999	8.72713	0.0194783
400	9.00888	0.02136
409	9.90186	0.0168323
447.998	11.0741	0.119087
450.998	11.2849	0.130694
453.998	11.4186	0.10835
456.998	11.7783	0.141279
459.998	11.7403	0.0190661
462.998	11.9911	0.0325871
465.998	12.2349	0.0144339
468.998	12.4934	0.0215346
471.998	12.7876	0.0149911
474.998	13.0539	0.0246381
477.998	13.3053	0.0172728
480.998	13.6389	0.010776
483.998	13.9043	0.0147723
486.998	14.1982	0.0125374
489.998	14.4679	0.00722101
492.999	14.7369	0.0163969
495.999	15.0514	0.0128677
498.999	15.3167	0.0175795
504.999	15.9292	0.0131339
507.999	16.2358	0.0114892
510.999	16.5443	0.0164498
513.999	16.8013	0.0181491
516.999	17.1141	0.0200013
519.999	17.4117	0.0211202
522.999	17.7106	0.0157765
525.999	18.0192	0.0302665
528.999	18.3106	0.0247994
531.999	18.6255	0.0154639
540.999	19.5489	0.0252427
543.999	19.8586	0.0264927
546.999	20.1709	0.0225762
