Distance (nm)	Force (pN)	ForceErr (pN)
249.998	0.856904	0.0158807
252.098	0.84676	0.014872
256.298	0.937826	0.0166771
258.398	0.886213	0.020736
260.498	0.853932	0.0189867
262.598	0.973034	0.0351651
264.698	1.05458	0.0167841
268.898	1.10865	0.015841
270.998	1.13852	0.0202239
281.498	1.30833	0.0276556
283.598	1.42823	0.0148243
285.699	1.42146	0.0222751
287.799	1.55307	0.0158466
289.899	1.62126	0.0261192
291.998	1.66404	0.02007
294.098	1.71454	0.0182144
296.198	1.74649	0.0235441
298.298	1.80972	0.0245822
300.398	1.86514	0.0323056
302.498	2.03763	0.0191829
304.598	2.02953	0.020881
306.698	2.14658	0.0233715
308.798	2.23195	0.0282845
310.898	2.32053	0.0247489
312.998	2.41672	0.0269436
315.098	2.5436	0.0232124
317.198	2.63377	0.0238664
319.298	2.7638	0.0337524
321.398	2.89522	0.0316371
323.499	3.01442	0.0302581
325.599	3.20628	0.0270606
327.699	3.27593	0.0306463
329.798	3.40244	0.0345029
331.898	3.59592	0.0272881
333.998	3.69438	0.0252338
336.098	3.88123	0.0255557
338.198	4.06589	0.0282389
340.298	4.21326	0.0332527
342.398	4.3616	0.0273497
344.499	4.54911	0.0199103
346.599	4.7301	0.0265824
348.698	4.9095	0.0222533
350.798	5.11929	0.0233598
352.898	5.30062	0.0207195
354.998	5.47792	0.0262297
357.098	5.714	0.0196302
359.198	5.9317	0.020482
361.298	6.10789	0.0202753
363.398	6.31236	0.0234743
365.499	6.50104	0.0276869
367.597	6.76493	0.0223714
369.697	6.97488	0.0259184
371.798	7.19942	0.0226305
373.898	7.4422	0.0220389
378.098	7.89878	0.0287768
380.198	8.10932	0.0262205
382.298	8.34428	0.0327227
384.398	8.63218	0.0478926
386.498	8.876	0.0515284
388.598	9.15273	0.0319987
392.798	9.57186	0.0338987
436.898	12.5559	0.152584
438.998	12.4522	0.241924
441.098	11.6301	0.0364083
443.198	11.8743	0.0320636
445.298	12.0667	0.0257017
447.398	12.2564	0.0309619
449.498	12.5502	0.0244478
451.598	12.7643	0.0249475
453.698	13.026	0.0250856
455.798	13.2661	0.0292575
457.898	13.4972	0.0263181
