Distance (nm)	Force (pN)	ForceErr (pN)
259.998	0.597695	0.0584189
274.998	0.742676	0.0370441
279.999	0.805124	0.0357675
282.498	0.871642	0.0400584
284.998	0.898303	0.0334201
292.498	1.07404	0.0326587
294.999	1.09386	0.0390465
297.499	1.24852	0.0342943
299.998	1.24752	0.0305396
302.498	1.31202	0.0344859
304.998	1.40258	0.0304561
307.499	1.50509	0.0276925
309.999	1.62518	0.0353667
312.498	1.68951	0.0376534
314.998	1.84607	0.035023
317.498	1.87736	0.0320111
319.998	2.07168	0.041163
322.498	2.17074	0.031083
324.998	2.32293	0.0352101
327.498	2.40676	0.03695
329.998	2.59752	0.0334913
334.999	2.84375	0.0303121
337.498	2.97432	0.03419
339.998	3.14535	0.032667
342.498	3.3485	0.0381618
344.998	3.56267	0.0349444
347.498	3.6959	0.0312496
349.999	3.90732	0.0345226
352.499	4.10586	0.0352505
354.998	4.32755	0.0331757
357.498	4.50311	0.0332833
359.999	4.72476	0.030912
362.498	4.97212	0.034709
364.998	5.17989	0.0357327
367.499	5.42958	0.0357536
369.998	5.63343	0.0324985
372.498	5.81896	0.0331721
374.999	6.07543	0.0319246
377.498	6.32932	0.0331427
379.997	6.57261	0.0324756
382.498	6.79516	0.0309554
384.998	7.08293	0.0311039
387.498	7.30256	0.0312925
389.998	7.5848	0.0339926
394.998	8.10517	0.0313982
397.498	8.35644	0.0376684
399.999	8.64509	0.0358438
402.498	8.87275	0.0441785
404.997	9.15581	0.0375118
407.498	9.41857	0.0349326
409.999	9.65407	0.0316566
