Distance (nm)	Force (pN)	ForceErr (pN)
249.998	0.600926	0
252.998	0.584191	0
258.998	0.580759	0
267.997	0.907714	0
273.996	0.791613	0
279.996	0.941305	0
295	1.16018	0
300.999	1.27744	0
306.998	1.41915	0
309.998	1.50226	0
318.997	1.91387	0
324.997	2.0516	0
330.996	2.31677	0
333.996	2.44597	0
336.996	2.61472	0
339.996	2.94559	0
342.995	3.08598	0
345.998	3.30773	0
349	3.48032	0
352	3.65789	0
354.999	3.96615	0
360.999	4.42718	0
363.999	4.63689	0
366.998	4.86768	0
369.998	5.18074	0
372.998	5.47159	0
378.997	6.06408	0
381.997	6.36642	0
384.997	6.69207	0
387.996	6.96283	0
390.996	7.30845	0
393.996	7.64897	0
396.996	7.96595	0
399.995	8.26992	0
402.998	8.62602	0
406	9.05379	0
409	9.4506	0
411.999	9.70631	0
417.999	10.4012	0
420.999	10.7876	0
444.996	12.8561	0
456.995	12.2693	0
463	11.9215	0
468.999	12.6367	0
471.999	13.021	0
474.999	13.327	0
477.999	13.717	0
486.998	14.7728	0
489.998	15.1313	0
495.997	15.8659	0
498.997	16.2301	0
501.996	16.6439	0
504.996	17.0177	0
513.995	18.2737	0
516.998	18.6203	0
520	19.0307	0
523	19.4437	0
525.999	19.8398	0
528.999	20.2458	0
531.999	20.6345	0
534.999	21.0711	0
537.998	21.4645	0
540.998	21.8676	0
543.998	22.2791	0
546.998	22.7162	0
