Distance (nm)	Force (pN)	ForceErr (pN)
252.498	0.429497	0.0102984
254.998	0.46966	0.0171324
259.997	0.484898	0.007287
262.497	0.488928	0.0259576
267.498	0.587408	0.0264651
269.998	0.645162	0.0216045
272.498	0.622182	0.0205867
274.998	0.568711	0.018075
277.498	0.571444	0.0209682
279.997	0.696475	0.0149421
284.998	0.750017	0.0194345
292.497	0.956268	0.0200642
297.498	0.958128	0.0180725
299.997	1.00239	0.0190154
304.998	1.12489	0.00657968
307.498	1.16259	0.0167149
309.997	1.37131	0.0145847
312.498	1.33443	0.0172815
314.998	1.41806	0.0169755
317.497	1.52899	0.00958962
319.997	1.60537	0.0139272
322.498	1.70945	0.00766448
324.997	1.80186	0.0134085
327.497	1.95733	0.0136243
329.998	2.05964	0.0109638
332.498	2.17281	0.0198855
334.997	2.29763	0.0156581
337.497	2.44766	0.014432
339.999	2.58191	0.00673739
342.498	2.77923	0.00894728
344.997	2.93693	0.0179273
347.498	3.05318	0.013185
349.998	3.27045	0.00767366
352.497	3.43057	0.0154618
354.997	3.62639	0.0125342
357.498	3.83319	0.0083022
359.998	4.04075	0.00968063
362.498	4.20788	0.0106282
364.998	4.44438	0.00763812
367.497	4.63888	0.00862587
369.997	4.88003	0.0116235
372.498	5.08679	0.0101949
374.998	5.34398	0.0129529
377.497	5.56028	0.0110879
379.997	5.79496	0.00924585
382.498	6.00064	0.0114515
384.998	6.2465	0.0132625
387.497	6.49738	0.0113544
389.997	6.73317	0.0129302
434.997	9.21233	0.0920805
437.498	9.30798	0.112271
439.998	9.03821	0.0433851
442.497	9.31189	0.028677
444.997	9.39576	0.0151804
447.498	9.65092	0.0146571
449.998	9.83531	0.0128744
452.498	10.0801	0.0111087
454.997	10.3375	0.0141153
457.498	10.5809	0.0136315
459.998	10.8181	0.0180275
462.498	11.0753	0.0137305
464.998	11.3551	0.0116559
467.497	11.5791	0.0119109
469.997	11.8227	0.0139514
472.498	12.0799	0.0123297
474.998	12.3464	0.00867345
477.497	12.609	0.0120268
479.997	12.8801	0.00796193
482.498	13.1456	0.0114174
484.997	13.4182	0.0154041
487.497	13.6633	0.0143824
489.997	13.934	0.0107644
492.498	14.1967	0.0103677
494.998	14.4872	0.0136213
497.498	14.7165	0.0104093
