Distance (nm)	Force (pN)	ForceErr (pN)
254.998	0.885545	0.0410709
257.448	0.851121	0.0133152
259.898	0.875278	0.0128167
264.798	0.985604	0.0129262
267.248	1.00193	0.013284
269.697	1.00512	0.0161636
272.148	1.09304	0.0152977
277.047	1.20893	0.0123519
279.498	1.24826	0.0178052
281.948	1.31101	0.0103322
284.398	1.35716	0.0110007
286.848	1.37849	0.0178494
291.747	1.49836	0.0166245
294.198	1.59928	0.00891244
296.648	1.65882	0.0162004
299.097	1.75615	0.0152154
301.548	1.87849	0.0115388
303.998	1.92081	0.0164366
306.448	2.00089	0.0119004
308.898	2.0835	0.0133545
311.348	2.21162	0.0114187
313.798	2.3075	0.0137629
316.248	2.42304	0.0134452
318.698	2.51556	0.0145861
321.148	2.66645	0.0107844
323.598	2.78278	0.00871232
326.048	2.89987	0.0182891
328.498	3.05116	0.013355
330.948	3.2095	0.0132232
333.398	3.36153	0.0177929
335.848	3.477	0.0149068
338.298	3.6386	0.0133687
340.748	3.79007	0.016439
343.198	3.94574	0.0149705
345.648	4.132	0.0182258
348.098	4.27323	0.0214894
350.548	4.46372	0.0127152
352.998	4.57759	0.00930617
355.448	4.78559	0.0122293
357.897	4.93696	0.0144117
360.347	5.11457	0.013241
362.798	5.33437	0.0137534
365.248	5.48469	0.0156178
367.698	5.70169	0.0129689
370.148	5.9222	0.0158076
372.597	6.11139	0.016883
375.048	6.31639	0.0129292
377.498	6.53811	0.0185466
379.947	6.74912	0.0201234
382.398	6.97564	0.016248
384.848	7.18673	0.012864
387.298	7.39367	0.0145796
389.747	7.57948	0.0133626
392.198	7.81412	0.0169289
394.648	8.02435	0.0189264
397.098	8.24478	0.0171563
401.998	8.68104	0.0212358
406.898	9.10816	0.0145056
409.348	9.34564	0.0173769
458.347	12.1184	0.149789
463.248	11.8509	0.0963744
465.698	11.6129	0.0230312
468.148	11.7927	0.0111419
470.598	12.0006	0.00710635
473.047	12.2287	0.011929
475.497	12.4332	0.0112432
477.948	12.6496	0.0122153
480.398	12.8706	0.0130172
482.848	13.1095	0.0107062
485.298	13.3266	0.0110092
487.747	13.5611	0.0117443
490.197	13.7641	0.00976721
492.648	14.0098	0.0141043
495.098	14.2272	0.0103712
497.548	14.4236	0.015534
