Distance (nm)	Force (pN)	ForceErr (pN)
252.198	0.478915	0.019966
258.799	0.556534	0.0148839
260.999	0.616854	0.0164319
263.199	0.705534	0.0160852
265.397	0.702812	0.0155653
267.597	0.706493	0.0190472
269.797	0.719536	0.0279822
274.198	0.814275	0.0184518
276.398	0.873047	0.0137882
278.599	0.942492	0.0272345
280.799	0.992263	0.0160853
289.597	1.1499	0.0178179
291.798	1.23588	0.0255343
293.998	1.31938	0.0196282
296.198	1.38081	0.0173003
298.399	1.50317	0.0234958
300.599	1.54883	0.0187928
302.799	1.70774	0.0220114
304.998	1.72652	0.0158886
307.197	1.80122	0.02411
309.397	1.96184	0.0275384
311.598	2.03229	0.0180837
313.798	2.16517	0.0250858
315.998	2.2286	0.020439
318.199	2.34939	0.0169053
320.399	2.47313	0.0183002
322.599	2.60499	0.0158523
324.798	2.71682	0.0137768
326.998	2.86841	0.0162475
329.198	3.00556	0.0113535
331.398	3.16357	0.0150122
333.598	3.34154	0.016683
335.798	3.52442	0.0105914
337.998	3.65066	0.0128355
340.199	3.84439	0.0132459
342.399	4.02585	0.0132198
344.599	4.24199	0.0140591
346.798	4.47415	0.0149022
348.998	4.65206	0.0148005
351.198	4.83644	0.0175404
353.398	5.06265	0.0103725
355.598	5.29527	0.0120974
357.798	5.51158	0.0155451
359.999	5.72571	0.0116874
362.199	5.95237	0.0123963
364.399	6.14684	0.0157866
366.598	6.39843	0.0126112
408.398	9.10467	0.113433
410.598	8.78159	0.0709339
412.798	8.66242	0.042097
414.998	8.6112	0.0230556
417.198	8.80968	0.0152926
419.399	8.96918	0.0133946
421.599	9.18997	0.0140773
423.799	9.43184	0.0168167
425.999	9.66025	0.0159415
428.198	9.88314	0.0143244
430.398	10.1006	0.0146155
432.598	10.3256	0.0164486
434.799	10.5705	0.016408
436.999	10.8098	0.0153208
439.199	11.0686	0.016578
441.399	11.299	0.0145758
443.598	11.5372	0.0191404
445.798	11.8196	0.0149687
447.998	12.0626	0.0537788
450.197	12.3284	0.0543085
452.398	12.57	0.0558802
454.598	12.8616	0.0544299
456.798	13.1299	0.0564772
458.998	13.3803	0.0570364
461.198	13.6545	0.0551418
463.398	13.9346	0.0552849
465.598	14.1819	0.0567344
467.798	14.4622	0.0575442
