Distance (nm)	Force (pN)	ForceErr (pN)
274.999	0.648171	0.0167952
277.449	0.678597	0.0344647
279.899	0.733849	0.0170381
282.349	0.777447	0.00975274
284.799	0.749433	0.0120626
287.249	0.831909	0.0137562
289.699	0.864812	0.0103169
292.149	0.930264	0.0120491
294.599	0.96809	0.0197424
297.049	0.994674	0.0123297
299.499	1.07481	0.0113257
304.399	1.19905	0.0166695
306.849	1.23608	0.0111525
311.749	1.37924	0.0127741
314.199	1.46605	0.0104616
316.649	1.56985	0.0120524
319.099	1.64436	0.00906286
321.549	1.75448	0.01406
323.999	1.86738	0.0124277
326.449	1.98946	0.0124769
328.899	2.08473	0.0131249
331.349	2.18825	0.00993821
333.799	2.30995	0.0105954
336.249	2.4436	0.0102259
338.699	2.57764	0.00856574
341.149	2.7113	0.00896416
343.599	2.83474	0.00778645
346.049	2.99506	0.0113663
348.499	3.16174	0.00914539
350.949	3.28896	0.0146536
353.399	3.46389	0.011075
355.849	3.63636	0.00971726
358.299	3.79292	0.0103795
360.749	3.97379	0.0115576
363.199	4.12003	0.0117152
365.649	4.33084	0.00985585
368.099	4.5103	0.0132614
370.549	4.68118	0.0126645
372.999	4.88121	0.0137235
375.449	5.04762	0.0139353
377.899	5.27265	0.0174095
380.349	5.47371	0.0139686
382.799	5.64009	0.0133178
385.249	5.84802	0.0145442
387.699	6.05127	0.0130527
390.149	6.25194	0.0137758
392.599	6.45696	0.0105359
395.049	6.65191	0.0115302
397.499	6.86002	0.0115622
444.049	9.37999	0.039417
446.499	9.16594	0.035254
448.949	9.19048	0.0377178
451.399	9.16965	0.0123777
453.849	9.36821	0.0170736
456.299	9.53107	0.0199403
458.749	9.66593	0.0124515
461.199	9.86732	0.0091761
463.649	10.0629	0.00909499
466.099	10.2559	0.00768507
468.549	10.4581	0.00982594
470.999	10.6674	0.00995882
473.449	10.8736	0.0102143
475.899	11.0574	0.0120721
478.349	11.2688	0.0120399
480.799	11.4615	0.00778518
483.249	11.6747	0.0062113
485.699	11.8794	0.00881857
488.149	12.0836	0.00916238
490.599	12.2741	0.0114294
493.049	12.4906	0.0106371
495.499	12.6922	0.00911512
497.949	12.9105	0.0124516
500.399	13.0895	0.0114958
502.849	13.304	0.014577
505.299	13.534	0.0136759
507.749	13.7138	0.0135691
510.199	13.9455	0.0147448
512.649	14.1325	0.0139199
515.099	14.3422	0.0125234
517.549	14.5639	0.014693
