Distance (nm)	Force (pN)	ForceErr (pN)
254.798	0.432901	0.0296909
257.198	0.471391	0.0421049
264.399	0.579058	0.0230048
266.798	0.575883	0.0285917
269.198	0.579649	0.0279911
273.998	0.703594	0.0301598
276.398	0.718382	0.0328157
278.798	0.740801	0.0264405
283.598	0.815155	0.0304415
285.998	0.858888	0.0244394
288.398	0.94539	0.0292133
290.798	0.991127	0.0402467
293.198	1.07986	0.024203
297.998	1.23274	0.0229193
300.398	1.33218	0.0288608
302.798	1.31209	0.0283198
307.598	1.42925	0.0244535
309.998	1.54446	0.0316024
312.398	1.68341	0.0285311
314.798	1.76566	0.0364138
317.198	1.81633	0.0281785
319.599	2.02022	0.0293118
321.998	2.12761	0.035967
324.398	2.22834	0.0294495
326.798	2.38249	0.0255602
329.198	2.49783	0.0305699
331.599	2.66266	0.0291456
333.998	2.78792	0.0276126
336.398	2.93945	0.0271144
338.798	3.09712	0.0342598
341.198	3.27133	0.0297826
343.598	3.45088	0.0307728
345.998	3.64368	0.0290387
348.398	3.85846	0.0324628
350.798	4.00408	0.0322141
353.199	4.21802	0.0358468
355.598	4.45544	0.0291833
357.998	4.62784	0.0353546
360.398	4.84072	0.0335159
362.798	5.04024	0.0313024
365.198	5.31144	0.0298682
367.597	5.50507	0.0243837
369.998	5.72509	0.0316605
372.398	5.97433	0.0252037
374.798	6.1804	0.026719
377.198	6.41166	0.0252616
379.597	6.67973	0.025236
422.798	9.3587	0.11687
425.198	9.17286	0.0552098
