Distance (nm)	Force (pN)	ForceErr (pN)
273.899	0.473831	0.00326294
277.799	0.504711	0.0100642
281.699	0.522699	0.0075882
289.499	0.628884	0.00625433
297.299	0.774747	0.0110803
301.199	0.840478	0.0136207
305.099	0.89995	0.0168267
308.999	0.970494	0.0086806
312.899	1.08024	0.00678707
316.799	1.18621	0.0234202
320.699	1.28596	0.00956918
324.599	1.41005	0.0079643
328.498	1.55569	0.00752326
332.399	1.69945	0.0100491
336.299	1.86781	0.00549333
340.199	2.03013	0.0106156
344.099	2.21943	0.0126807
347.999	2.42779	0.0160678
351.899	2.67102	0.00893076
355.799	2.93225	0.00963604
359.699	3.15968	0.0134025
363.599	3.40981	0.014007
375.299	4.20942	0.0165601
383.099	4.79354	0.0152941
390.899	5.34779	0.0242757
394.799	5.61464	0.0125617
398.699	5.94124	0.0211063
402.599	6.21612	0.0213832
406.499	6.5189	0.0237961
410.399	6.87811	0.0189791
422.099	7.79018	0.0171983
461.099	9.67193	0.0124666
480.599	9.72513	0.0190493
492.299	9.74061	0.0270225
496.199	9.65833	0.0268175
503.999	9.65956	0.0100614
511.799	9.67396	0.0217796
515.699	9.70897	0.0181503
519.599	9.66607	0.0199563
531.299	9.68788	0.0276393
542.998	9.7275	0.0210831
546.898	9.63525	0.0131478
550.799	9.57762	0.0140432
558.599	9.55526	0.0303496
562.499	9.57274	0.0189193
566.399	9.51108	0.0217107
570.299	9.60223	0.0373412
574.199	9.61018	0.0134139
593.699	9.57419	0.0375656
597.599	9.38059	0.0121066
601.499	9.42096	0.00369401
605.399	9.59595	0.00344552
609.299	9.82673	0.00947299
613.199	10.0428	0.00885553
617.099	10.2841	0.00689549
620.999	10.5257	0.00937024
624.899	10.7711	0.00426311
628.799	11.0308	0.00734528
632.699	11.2953	0.00700967
636.599	11.5679	0.00932271
640.499	11.8298	0.00832664
644.399	12.1053	0.00961478
648.299	12.3981	0.0175914
652.199	12.648	0.0142869
656.099	12.9525	0.0146661
