Distance (nm)	Force (pN)	ForceErr (pN)
249.998	0.605698	0.0100465
252.498	0.619271	0.018972
254.999	0.64683	0.00950749
257.498	0.687833	0.00968039
259.998	0.679177	0.0128597
262.499	0.736998	0.0159723
264.999	0.774635	0.00819372
267.498	0.768503	0.0135399
269.998	0.82055	0.0108534
272.499	0.82246	0.0106559
274.998	0.902795	0.0184414
279.999	0.969896	0.010576
282.498	1.0333	0.0131812
284.998	1.14076	0.00872451
287.498	1.21964	0.0103742
289.998	1.25054	0.00817673
292.498	1.28073	0.0103056
294.998	1.3864	0.00725475
297.498	1.46598	0.00976055
299.998	1.522	0.00793218
302.498	1.64931	0.00932981
304.998	1.72082	0.011977
307.498	1.83353	0.0117653
309.998	1.92055	0.00842859
312.498	2.03119	0.0116697
314.998	2.17755	0.0110791
317.498	2.268	0.00767786
319.998	2.41878	0.00957363
322.498	2.53709	0.00583895
324.998	2.69373	0.00842088
327.498	2.85553	0.00765279
329.998	2.98638	0.0144482
332.498	3.12723	0.0107459
334.998	3.30697	0.0126484
337.498	3.48094	0.0110386
339.998	3.6712	0.0101181
342.498	3.84467	0.0139461
344.998	4.04308	0.0121347
347.498	4.18728	0.0131499
349.998	4.40311	0.00908136
352.498	4.59428	0.0137584
354.998	4.82487	0.0140887
357.498	5.0043	0.0117465
359.998	5.18318	0.0175263
362.498	5.42167	0.0151034
364.998	5.62094	0.0150658
367.498	5.82841	0.0144097
369.998	6.04561	0.0150517
419.998	9.02837	0.0497048
422.498	8.84675	0.0520856
424.998	8.7365	0.0247939
427.498	8.79499	0.0212106
429.998	9.00915	0.0174818
432.498	9.17795	0.0125347
434.998	9.39881	0.0126927
437.498	9.62922	0.0122984
439.998	9.84503	0.00911476
442.498	10.0579	0.0127029
444.998	10.2994	0.0130998
447.498	10.5002	0.0123836
449.998	10.733	0.010942
452.498	10.959	0.0119287
454.999	11.1968	0.0103966
457.499	11.4632	0.0114864
459.998	11.6822	0.0113635
462.498	11.9155	0.0115361
464.999	12.153	0.0113755
467.498	12.4041	0.00977984
469.998	12.6527	0.00681655
472.498	12.8987	0.00876906
474.998	13.1416	0.0132018
477.498	13.3797	0.0105134
479.998	13.6161	0.00938826
482.498	13.8577	0.0102028
484.998	14.1155	0.0155794
494.998	15.1395	0.0128671
497.498	15.3656	0.0160079
