Distance (nm)	Force (pN)	ForceErr (pN)
230.005	0.453725	0.0143777
233.024	0.48114	0.0138004
244.973	0.501962	0.0129153
247.983	0.599437	0.013787
256.955	0.623389	0.0152558
272.004	0.835485	0.0136234
274.989	0.836463	0.0127695
277.998	0.917626	0.0137735
281.021	0.954936	0.0136054
284.004	1.03945	0.0130812
286.985	1.08121	0.0118039
289.969	1.19633	0.0129589
293.024	1.2611	0.0147227
295.993	1.31871	0.0130545
298.98	1.40555	0.0110763
302.005	1.50255	0.0125201
305.015	1.61696	0.0115229
308.016	1.76839	0.0127033
310.968	1.85491	0.0114189
313.967	1.98994	0.0126049
316.984	2.13068	0.0111169
320.008	2.2968	0.0103379
323.034	2.4455	0.0113229
326.01	2.60044	0.0111408
328.972	2.81569	0.011106
331.988	3.03267	0.0114907
334.976	3.22304	0.0110205
337.981	3.45092	0.0121057
340.972	3.66556	0.0123726
344.012	3.92779	0.0118899
347.006	4.17958	0.00992921
350.006	4.43406	0.00990714
352.99	4.73284	0.0103917
356	5.00373	0.0124929
358.972	5.28429	0.0127076
361.976	5.56349	0.0115135
365.003	5.87614	0.0115764
368.013	6.15264	0.0119212
415.995	9.6557	0.0298059
419.039	9.72285	0.021938
421.984	9.68821	0.0263764
424.968	9.75919	0.0274036
427.977	9.72967	0.026564
430.993	9.87793	0.0187471
449.002	9.57634	0.036212
451.995	9.26651	0.0264625
454.997	9.21023	0.0165928
458.007	9.29084	0.0113039
461.024	9.53206	0.0125399
463.999	9.777	0.0108448
466.991	10.0488	0.0112411
469.992	10.3289	0.0115717
473	10.6024	0.0111711
476.017	10.9051	0.0118847
479.006	11.1777	0.011951
482.007	11.4751	0.0105829
485.008	11.776	0.0127783
488.035	12.0833	0.0121341
491.03	12.3874	0.0120706
496.986	13.0115	0.0124647
499.989	13.3212	0.0119091
503.016	13.6513	0.011676
506.011	13.9739	0.0115296
508.965	14.3061	0.0111587
512.014	14.655	0.0120196
515.033	14.9969	0.0121909
518.062	15.3379	0.0125507
520.991	15.6949	0.0126187
