Distance (nm)	Force (pN)	ForceErr (pN)
249.997	0.726761	0.0155637
252.997	0.799516	0.0203071
258.998	0.920368	0.0175364
261.998	1.02817	0.0234585
264.998	0.97553	0.0105718
267.997	1.0188	0.0181405
273.997	1.28977	0.0224287
279.997	1.30684	0.0283762
282.997	1.42245	0.0120452
285.997	1.52548	0.0221649
288.997	1.62695	0.023372
291.997	1.68726	0.0302286
294.997	1.8438	0.0088236
297.998	1.97687	0.0192757
300.997	2.04397	0.0123338
303.996	2.16842	0.00287395
306.997	2.33099	0.0197361
309.997	2.4625	0.00137787
312.997	2.66114	0.0129782
315.997	2.82899	0.0333187
318.997	2.98734	0.00861744
321.997	3.13354	0.0176726
324.997	3.29925	0.0238176
327.997	3.53402	0.0180081
330.997	3.73913	0.0146254
333.997	3.88067	0.02185
336.998	4.11899	0.0123089
339.998	4.32995	0.0191333
342.998	4.52023	0.00900946
345.998	4.76884	0.0142879
348.999	4.98326	0.0169644
351.998	5.25241	0.01001
354.998	5.45013	0.00702575
357.998	5.65766	0.0116756
360.998	5.9499	0.00990745
363.998	6.17594	0.0141824
366.997	6.41972	0.00925371
369.997	6.66629	0.00567916
372.997	6.88961	0.0125344
375.998	7.13329	0.00979708
378.998	7.37221	0.0115546
381.998	7.65912	0.0188142
384.998	7.90106	0.0216522
390.998	8.40713	0.0214739
393.998	8.68083	0.0236844
396.998	8.95131	0.0168348
399.998	9.19695	0.0168802
402.998	9.46656	0.0140309
408.999	10.0206	0.0175909
411.999	10.3109	0.0196277
459.998	12.9733	0.0429573
465.998	13.4008	0.0487282
483.998	12.6363	0.241784
486.999	12.4335	0.0909909
492.998	12.4128	0.0354207
495.998	12.684	0.030588
498.998	12.8923	0.0169878
501.998	13.1206	0.0180895
507.997	13.6216	0.0180032
510.997	13.8976	0.0181566
513.997	14.1615	0.0228365
516.997	14.4069	0.0178684
519.997	14.6961	0.0194681
522.997	14.9416	0.0184519
525.997	15.2078	0.0201249
528.997	15.4718	0.0230988
531.997	15.7389	0.0225202
534.998	16.0394	0.0240947
537.998	16.299	0.012155
540.998	16.5762	0.0177644
543.998	16.854	0.0133367
546.998	17.1361	0.0155045
