Distance (nm)	Force (pN)	ForceErr (pN)
249.997	0.731855	0.0307817
251.997	0.692445	0.0455093
253.997	0.6907	0.0203258
257.998	0.710972	0.0372926
261.997	0.73567	0.0420184
265.997	0.971836	0.0326111
267.997	0.970534	0.0359259
269.998	0.953348	0.041899
271.998	1.04691	0.0197759
273.998	1.056	0.0337656
279.998	1.25846	0.0273471
281.997	1.25188	0.0299308
283.997	1.39531	0.0397616
289.998	1.55498	0.0352419
293.997	1.62989	0.022434
295.998	1.74799	0.0376648
297.998	1.85025	0.0300091
299.997	1.90603	0.0353499
303.997	2.0826	0.0285729
305.997	2.20805	0.0269127
307.998	2.27628	0.021334
309.998	2.4024	0.0242353
311.998	2.54994	0.0183382
313.998	2.66627	0.0331076
315.997	2.7951	0.0280276
317.998	2.86096	0.0234044
319.998	3.0487	0.0230078
321.997	3.20755	0.0185204
323.998	3.30179	0.0274048
325.998	3.4665	0.0230805
327.997	3.61841	0.0290181
329.997	3.79603	0.022334
331.998	3.93611	0.0216295
333.997	4.11397	0.0219859
335.997	4.3271	0.0282807
337.998	4.4413	0.0248456
339.997	4.65977	0.0282434
341.997	4.85142	0.0217199
343.997	5.02891	0.0252505
347.998	5.38417	0.0231938
349.998	5.60076	0.0286053
351.998	5.83214	0.0181899
353.998	6.01932	0.0182462
355.997	6.21299	0.0179709
357.997	6.40268	0.0178726
359.998	6.62364	0.0169033
361.998	6.84271	0.0167087
363.998	7.04883	0.0229506
365.998	7.27328	0.0158683
367.997	7.49234	0.0167892
369.998	7.71801	0.0204658
371.998	7.94332	0.0167922
375.998	8.43409	0.0175738
377.998	8.65131	0.0163335
379.997	8.90509	0.014813
381.997	9.1339	0.0258035
383.997	9.37228	0.023887
385.997	9.5999	0.0195767
409.997	12.0742	0.0501626
425.998	12.3718	0.26313
429.998	12.1054	0.175045
431.998	11.8726	0.216185
433.997	11.7877	0.116389
435.997	11.8131	0.0698891
437.998	12.0397	0.0621684
439.998	12.2384	0.056724
441.998	12.3433	0.0871265
443.997	12.7007	0.0346508
445.998	12.8927	0.0243846
447.998	13.1218	0.0341816
