Distance (nm)	Force (pN)	ForceErr (pN)
303.998	1.84073	0.188305
305.996	1.96144	0.198584
307.997	2.17903	0.242338
309.997	1.99556	0.206459
311.998	2.32024	0.128676
315.997	2.46861	0.219321
317.998	2.7229	0.116359
319.998	2.76115	0.197094
321.997	2.82256	0.123409
325.998	3.09709	0.153928
331.997	3.52201	0.19127
335.999	3.77466	0.127184
337.997	3.92745	0.145066
341.998	4.2397	0.091266
343.997	4.43153	0.155882
345.997	4.58174	0.0922154
347.998	4.77772	0.151743
353.997	5.26849	0.10264
357.999	5.81803	0.174714
361.998	6.22159	0.105367
363.998	6.18352	0.21082
365.997	6.38344	0.170101
367.997	6.67419	0.053322
369.998	7.03011	0.180818
373.997	7.23942	0.185039
375.997	7.47533	0.151916
377.998	7.72766	0.0854494
379.999	7.94281	0.142126
381.997	8.14381	0.123707
387.996	8.85194	0.0819524
389.997	8.96895	0.148454
391.998	9.20085	0.123304
393.996	9.44926	0.144305
397.997	9.83472	0.154384
401.999	10.2897	0.14961
403.997	10.6296	0.108454
415.996	11.8689	0.181526
429.998	12.7024	0.165703
441.997	11.2663	0.500337
443.998	11.4022	0.218298
445.999	11.6258	0.285904
447.997	11.9274	0.286384
449.998	12.1884	0.226691
451.998	12.2337	0.169518
453.996	12.4573	0.170867
457.998	12.9009	0.202627
461.997	13.558	0.170077
463.997	13.712	0.0866136
465.998	13.8891	0.151812
467.999	14.0617	0.175765
469.997	14.3256	0.152892
471.998	14.5708	0.0726052
475.996	15.02	0.132561
477.997	15.2954	0.161567
479.998	15.6097	0.110721
485.997	16.2156	0.084241
487.998	16.4347	0.0611538
489.999	16.7095	0.129974
491.997	16.9182	0.0608075
493.997	17.1519	0.0685104
495.998	17.4846	0.167152
497.996	17.6399	0.115573
