Distance (nm)	Force (pN)	ForceErr (pN)
249.998	0.680704	0.0165139
252.798	0.745905	0.018961
255.598	0.794257	0.0141296
258.398	0.779291	0.0297416
266.798	0.931242	0.0103828
269.599	0.921983	0.00893689
272.399	0.992988	0.0125165
275.197	1.01897	0.0149205
280.798	1.18077	0.00717858
283.599	1.25149	0.0139256
286.398	1.31639	0.0125481
289.198	1.34891	0.0129341
291.998	1.45734	0.0178282
294.798	1.53393	0.020327
297.598	1.65744	0.00927157
300.398	1.74679	0.00354944
303.197	1.88181	0.0133655
305.997	1.95509	0.017439
308.798	2.08946	0.0168406
311.599	2.22272	0.0169759
314.398	2.40983	0.0142056
317.197	2.55354	0.0100495
319.997	2.66618	0.0149689
322.798	2.85197	0.0173749
325.598	3.06288	0.0142057
328.398	3.18589	0.0176948
331.197	3.40882	0.017596
333.997	3.58032	0.0115041
336.798	3.78403	0.0183759
339.598	3.95839	0.0171349
342.398	4.15264	0.0183244
345.198	4.36889	0.0223241
347.998	4.59452	0.0175219
350.798	4.82439	0.0163028
353.597	5.03054	0.0149151
356.398	5.26389	0.0221672
359.198	5.46004	0.0227307
361.998	5.70634	0.0211826
364.798	5.93936	0.0177413
367.598	6.19057	0.022158
370.398	6.43894	0.0177614
375.997	6.91681	0.0234475
378.798	7.14689	0.0228118
381.598	7.37943	0.0197052
384.398	7.68118	0.0181875
387.198	7.91772	0.0186838
389.997	8.17953	0.0193315
392.798	8.41861	0.0250936
401.198	9.19125	0.0211237
403.998	9.4562	0.0296941
409.598	9.9544	0.0212349
476.798	12.422	0.143795
479.598	12.1351	0.143424
482.398	12.0307	0.188657
485.198	11.6937	0.0476596
487.998	11.8686	0.0360502
490.798	11.9804	0.0185998
493.597	12.2203	0.0159678
496.398	12.4692	0.0164978
499.198	12.7089	0.0119245
501.997	12.9241	0.0203506
504.797	13.1743	0.0184383
507.597	13.4399	0.0147876
510.398	13.6797	0.0187407
513.199	13.9251	0.0135352
515.998	14.1783	0.0152976
521.597	14.6969	0.0142699
524.398	14.9442	0.014555
527.198	15.2011	0.0147645
