Distance (nm)	Force (pN)	ForceErr (pN)
249.999	0.443197	0.0267109
252.398	0.503208	0.0277231
253.598	0.496864	0.0449749
255.999	0.453843	0.0291076
257.199	0.46905	0.0286607
258.399	0.532102	0.0221654
261.999	0.594096	0.0217241
264.398	0.577175	0.0250614
265.598	0.575826	0.0205358
269.199	0.654214	0.0270874
270.399	0.764487	0.0437978
273.999	0.695023	0.0288196
275.198	0.753863	0.0360094
276.399	0.748629	0.0254806
277.599	0.766621	0.0334817
279.999	0.799984	0.019964
282.399	0.82759	0.0202175
283.599	0.932321	0.0517332
284.799	0.948256	0.0356882
285.998	0.924014	0.0171605
287.198	0.923164	0.0134019
288.399	1.04594	0.0314025
289.599	1.02413	0.0300187
291.998	1.12797	0.0351281
295.599	1.20792	0.036846
297.998	1.24244	0.0379243
299.198	1.26263	0.0138231
300.399	1.36605	0.0470711
303.998	1.41541	0.0166269
305.198	1.44894	0.0209868
306.399	1.50313	0.0198364
307.599	1.52094	0.015961
308.799	1.53108	0.0132726
309.998	1.64476	0.0222118
311.198	1.69626	0.0263354
312.398	1.68908	0.0229222
313.599	1.69091	0.0227637
315.999	1.84616	0.0175219
317.199	1.90079	0.0214277
318.398	1.92365	0.0162477
319.599	2.05578	0.0208443
320.799	2.08673	0.0242527
321.999	2.12368	0.0219479
323.198	2.12076	0.0276145
324.398	2.22987	0.0162221
325.599	2.29799	0.0219747
326.799	2.34951	0.0142615
327.999	2.41711	0.0229111
329.199	2.49844	0.025705
330.399	2.58536	0.0153032
331.599	2.67645	0.0175056
332.799	2.65412	0.0292674
333.998	2.75024	0.0224484
335.199	2.86084	0.017952
336.399	2.8712	0.0196098
337.598	2.94972	0.0233388
338.798	3.05731	0.017722
339.998	3.17343	0.0151263
341.199	3.26367	0.0189481
342.399	3.29397	0.01288
343.599	3.39351	0.0167954
344.798	3.47983	0.021833
345.998	3.51226	0.0241713
347.199	3.59178	0.0169077
348.399	3.73559	0.0135605
349.598	3.82696	0.0210998
350.798	3.92458	0.0258386
351.998	4.03575	0.0133377
353.199	4.09468	0.0228149
354.399	4.19528	0.0195726
355.599	4.31391	0.00912351
356.798	4.43497	0.00925711
357.998	4.52136	0.0101681
359.199	4.57473	0.0172263
360.399	4.69008	0.0129824
361.599	4.76659	0.0203133
362.798	4.9071	0.0186872
363.998	5.03924	0.0125204
365.199	5.11657	0.019787
366.399	5.20789	0.027831
367.599	5.36241	0.0163284
368.799	5.46209	0.0168236
369.999	5.54051	0.0222164
371.198	5.65979	0.0167377
372.399	5.80138	0.011879
373.599	5.86041	0.0202287
374.799	5.97093	0.018159
375.999	6.08297	0.0259282
377.198	6.21083	0.0184339
379.599	6.4332	0.020117
380.799	6.54443	0.0176274
381.999	6.66117	0.0227452
383.199	6.80077	0.0176696
384.398	6.89364	0.021572
386.799	7.13974	0.0187423
389.199	7.36794	0.0219128
390.398	7.50172	0.0197647
425.199	9.53985	0.129286
426.399	9.35862	0.0368146
427.599	9.70061	0.126894
428.799	9.08034	0.0948656
429.999	9.45936	0.225695
431.199	9.06585	0.0519468
432.399	9.09946	0.0432326
433.599	9.16531	0.0438307
434.799	9.29646	0.0231924
435.998	9.44113	0.0380843
437.198	9.40061	0.024536
438.398	9.52304	0.017206
439.599	9.67145	0.0286234
440.799	9.74576	0.0246535
441.999	9.83508	0.0229126
443.198	9.97054	0.0248498
444.398	10.0655	0.0188849
445.599	10.1899	0.0174785
446.799	10.2971	0.0178328
447.999	10.3745	0.0219237
449.198	10.4975	0.0239701
450.398	10.641	0.0224247
451.599	10.7421	0.0209424
452.799	10.8686	0.0208465
453.999	10.9856	0.0236021
455.199	11.1163	0.0259958
456.398	11.2348	0.0232332
457.598	11.3447	0.0235679
458.799	11.4579	0.0245472
459.999	11.6015	0.0226087
461.199	11.725	0.0332013
462.398	11.8751	0.0267331
463.598	11.9653	0.0260219
464.799	12.0775	0.0245151
465.999	12.2079	0.0190972
467.199	12.3198	0.0236554
468.398	12.428	0.0244293
469.598	12.5741	0.0257393
470.799	12.7132	0.0239393
471.999	12.8164	0.0300871
473.199	12.9505	0.0274503
474.398	13.0813	0.0258214
475.598	13.2075	0.0268916
476.799	13.3598	0.0198087
477.999	13.4758	0.0260242
479.199	13.5845	0.024508
480.399	13.7339	0.0239463
481.599	13.8382	0.0277125
482.799	13.9961	0.0244125
483.998	14.0976	0.0285798
485.198	14.2166	0.0245746
486.399	14.3723	0.0213059
487.599	14.4664	0.0269445
488.799	14.6096	0.0241209
