Distance (nm)	Force (pN)	ForceErr (pN)
249.998	0.582251	0.0160669
252.298	0.582981	0.0165949
261.498	0.659347	0.011724
263.797	0.694936	0.020166
268.398	0.766414	0.00981974
270.698	0.837483	0.0137416
277.597	0.896232	0.0113283
279.897	0.984725	0.0107409
282.197	1.05046	0.0148822
284.498	1.07712	0.0154668
289.098	1.09792	0.0175266
291.398	1.23925	0.0108687
293.698	1.28876	0.0114459
295.998	1.40589	0.0197452
298.298	1.40757	0.0129049
300.597	1.51752	0.0163036
302.897	1.54792	0.0157018
305.197	1.69725	0.0165914
307.498	1.77245	0.0145968
309.798	1.82833	0.0113566
312.098	1.94386	0.00978189
314.398	2.06904	0.0151567
316.698	2.17282	0.0145426
318.998	2.29844	0.0146495
321.297	2.41113	0.0147829
323.597	2.5472	0.0106209
325.897	2.68398	0.00791186
328.197	2.84164	0.0125673
330.498	2.96442	0.01122
332.798	3.16516	0.00962555
335.098	3.32987	0.00881899
337.398	3.49317	0.00795482
339.698	3.67626	0.0100039
341.998	3.8625	0.0082634
344.298	4.08399	0.0104197
346.598	4.27146	0.00807317
348.898	4.5018	0.0097155
351.198	4.69299	0.0102768
353.497	4.92106	0.00963006
355.797	5.13967	0.0084124
358.097	5.38334	0.00866076
360.397	5.62264	0.0101071
362.698	5.84114	0.00786906
364.998	6.09997	0.00779591
410.998	9.04707	0.0520818
413.298	8.72191	0.048932
415.598	8.77671	0.0317763
417.897	8.78614	0.0177954
420.198	8.92842	0.0105105
422.498	9.13794	0.0079205
424.798	9.38115	0.00828806
427.097	9.60654	0.00663809
429.397	9.85994	0.00639199
431.698	10.0857	0.00645274
433.998	10.3177	0.00640661
436.298	10.5599	0.00693813
438.597	10.8102	0.00649239
440.898	11.0756	0.00647409
443.198	11.3241	0.00626888
445.498	11.5734	0.00638443
447.798	11.8265	0.00718907
450.098	12.1008	0.00736749
452.398	12.3564	0.0076348
454.698	12.6222	0.00676144
456.998	12.896	0.00738396
459.298	13.1742	0.00617706
461.598	13.4523	0.00696312
463.898	13.7257	0.00521695
466.198	13.9846	0.00575245
468.498	14.2706	0.00701253
470.797	14.5597	0.00512571
473.097	14.8318	0.00601817
475.397	15.1286	0.00621935
477.697	15.4054	0.0059722
