Distance (nm)	Force (pN)	ForceErr (pN)
249.996	0.707588	0.00201969
253.096	0.741486	0.00783894
262.396	0.875182	0.0204355
268.597	1.00268	0.0112169
271.697	0.969892	0.0308993
280.997	1.1954	0.0223879
284.098	1.20655	0.0131348
287.198	1.25143	0.0201292
290.298	1.37439	0.0240581
293.398	1.41098	0.0235341
296.498	1.49917	0.0346636
299.597	1.60556	0.00512054
302.697	1.68289	0.012489
305.797	1.79482	0.0175653
308.897	1.96148	0.0222143
311.997	1.97069	0.0371016
315.097	2.13419	0.0374182
318.197	2.25151	0.030856
321.296	2.36988	0.0219029
324.396	2.54868	0.0116534
327.496	2.65396	0.00261217
330.596	2.77108	0.011607
333.696	3.01248	0.00812574
336.796	3.13492	0.00267129
339.896	3.34846	0.00878486
342.996	3.5193	0.0179111
346.096	3.73467	0.0154802
349.197	3.96009	0.0120317
352.298	4.15062	0.02406
355.398	4.35563	0.00832242
358.498	4.61777	0.00390149
361.599	4.87228	0.0113533
364.7	5.10277	0.0113785
367.8	5.31943	0.00296749
370.899	5.54413	0.0138301
373.999	5.73677	0.00330518
377.099	6.02829	0.00388828
380.199	6.25421	0.0029731
386.399	6.79533	0.00332561
389.499	7.05665	0.0131171
395.698	7.57902	0.00448983
398.798	7.83053	0.00338976
401.898	8.10006	0.0092078
404.998	8.36253	0.0102793
408.098	8.68397	0.00343778
411.198	8.96556	0.00890192
414.298	9.24677	0.00557661
417.398	9.53095	0.00707024
463.899	12.819	0.0612593
466.999	12.8986	0.0696868
488.698	13.109	0.038458
491.798	12.8933	0.174984
497.997	12.2628	0.254726
501.097	12.0851	0.143042
504.197	12.0115	0.00743879
507.297	12.2269	0.00587543
510.397	12.5194	0.00907451
513.497	12.7804	0.00375546
516.597	13.0216	0.00944911
519.697	13.2884	0.0103592
522.798	13.576	0.0123027
525.898	13.8408	0.0105164
532.098	14.4083	0.00526818
538.298	14.9229	0.0106918
541.399	15.1856	0.0100908
544.499	15.4954	0.00777702
547.599	15.7821	0.0103131
550.699	16.0408	0.0177314
553.799	16.3218	0.0152182
556.898	16.5836	0.00855101
