Distance (nm)	Force (pN)	ForceErr (pN)
289.149	0.793671	0.0145524
293.299	0.885979	0.0177133
297.449	0.929093	0.025998
301.599	1.03602	0.0150642
305.749	1.14189	0.0138873
309.899	1.26251	0.024528
314.049	1.37113	0.0179696
318.198	1.49303	0.0166389
322.349	1.6392	0.0152385
326.499	1.8061	0.0151158
330.648	2.01064	0.0151685
334.799	2.19012	0.0154512
338.949	2.38705	0.0149312
343.099	2.64283	0.0167591
347.248	2.88622	0.0188251
351.399	3.15774	0.0190918
355.549	3.43764	0.0163222
359.698	3.74792	0.0159878
363.848	4.05006	0.012288
367.999	4.35404	0.013582
372.149	4.69202	0.0152073
376.298	5.0171	0.0157291
380.448	5.34058	0.0141431
384.598	5.70782	0.0151832
388.749	6.05079	0.0203821
442.698	9.76068	0.0262353
459.298	9.93366	0.021392
467.599	9.94556	0.0259693
475.898	9.96726	0.0411385
480.048	9.96666	0.0188375
484.199	9.86547	0.0423686
492.499	9.79873	0.0322133
500.798	9.78848	0.0343784
504.949	9.83133	0.0262242
533.998	9.81017	0.0386694
538.149	9.72736	0.0235238
550.598	9.63657	0.0271807
554.749	9.61971	0.0244553
558.899	9.67602	0.0254939
563.049	9.66919	0.0241488
583.799	9.73781	0.0242015
587.949	9.54126	0.0316907
592.099	9.64154	0.0262478
596.249	9.75376	0.015963
600.399	9.98239	0.0137879
604.549	10.2411	0.0125085
608.698	10.5029	0.0141531
612.849	10.7477	0.0128885
616.999	11.0276	0.0138572
621.149	11.2783	0.0136247
625.299	11.5443	0.0180601
629.449	11.8355	0.016289
633.598	12.1413	0.0166774
637.749	12.4276	0.0128782
641.899	12.7108	0.0161721
646.049	13.0207	0.0159672
650.198	13.3204	0.0150548
654.349	13.6094	0.0143028
658.499	13.9208	0.013534
662.649	14.2399	0.0145968
666.798	14.5482	0.0138861
670.949	14.8763	0.0153252
675.099	15.1843	0.0145478
679.249	15.5159	0.0140359
683.398	15.8284	0.0153001
687.549	16.1406	0.0163818
691.699	16.4784	0.0163261
695.849	16.7948	0.0197793
