Distance (nm)	Force (pN)	ForceErr (pN)
259.998	0.359158	0.00497301
264.397	0.328945	0.018038
268.797	0.376073	0.0417031
281.997	0.524408	0.00742523
286.397	0.5201	0.00456314
290.797	0.668716	0.0163436
295.198	0.718325	0.00777445
299.599	0.781342	0.0316964
308.397	1.04096	0.0165105
312.797	1.21983	0.00182113
317.197	1.30377	0.0127936
321.598	1.49298	0.0263207
325.998	1.67973	0.0101822
330.398	1.88571	0.00890515
334.798	2.10004	0.00755124
339.197	2.36395	0.0186057
343.597	2.6611	0.013518
347.997	2.89556	0.0154417
352.397	3.18676	0.0199398
356.797	3.57027	0.00990454
361.198	3.85112	0.0133115
365.599	4.27564	0.00213716
369.998	4.65204	0.0115713
378.797	5.4703	0.00698321
383.197	5.86465	0.00547422
435.998	9.45825	0.0319513
440.398	9.65962	0.0388093
457.997	9.79208	0.0410274
462.398	9.60562	0.0608707
466.798	9.47434	0.0311391
479.996	9.64845	0.0394301
484.397	9.65556	0.0447777
488.797	9.49964	0.0339034
493.198	9.63991	0.0454486
497.599	9.71547	0.0649645
501.999	9.74644	0.00818802
506.397	9.83148	0.0169449
528.398	9.67732	0.0304662
537.197	9.49402	0.0217077
545.998	9.43628	0.00513394
550.397	9.37326	0.0115867
554.797	9.53009	0.00227716
559.197	9.68211	0.00394256
563.597	9.7237	0.0154608
572.398	9.40763	0.0514298
576.797	9.275	0.00587894
581.197	9.50649	0.0297398
585.597	9.61306	0.0129952
589.997	9.88989	0.00371231
594.398	10.1145	0.00531643
598.799	10.4159	0.00302703
603.198	10.7253	0.00179876
607.598	11.0332	0.018886
620.797	11.9692	0.0187403
625.197	12.2849	0.00764436
629.597	12.5996	0.0136671
633.998	12.9356	0.00872824
638.398	13.2858	0.00626597
642.797	13.6181	0.00181405
647.197	13.9535	0.00717746
660.398	15.0611	0.0123739
669.199	15.7797	0.0153047
673.597	16.1204	0.0117749
677.996	16.5082	0.00478491
682.397	16.8672	0.00991213
686.798	17.263	0.00972225
691.198	17.6486	0.0130025
695.598	18.0269	0.0125651
