Distance (nm)	Force (pN)	ForceErr (pN)
255	0.404908	0.0084877
258.95	0.411776	0.00781163
262.9	0.454665	0.00482195
266.85	0.495157	0.00883609
270.8	0.50919	0.00542548
274.75	0.558284	0.00581344
278.7	0.619476	0.00748668
282.65	0.663419	0.00920866
286.6	0.720984	0.0127415
290.55	0.794088	0.0089783
294.5	0.862723	0.0075141
298.45	0.967903	0.00944768
302.4	1.05921	0.00793768
306.35	1.1525	0.00925794
310.3	1.26628	0.00875712
314.25	1.41158	0.00686876
318.2	1.55827	0.0105085
322.15	1.74178	0.00525617
326.1	1.90823	0.00603719
330.05	2.08483	0.00588194
334	2.29446	0.00440602
337.95	2.51692	0.00465667
341.9	2.77555	0.00454896
345.85	3.04475	0.00692355
349.8	3.3219	0.00717402
353.75	3.60027	0.00907238
357.7	3.92893	0.00715294
361.65	4.24209	0.00966045
365.6	4.56039	0.00740926
369.55	4.89932	0.00923546
373.5	5.25768	0.00898056
377.45	5.60521	0.0114699
393.25	7.0109	0.00976926
397.2	7.36891	0.00642898
401.15	7.7405	0.00513954
405.1	8.09854	0.00554331
452.5	10.1638	0.014832
456.45	10.167	0.0165147
460.4	10.1396	0.0229136
464.35	10.1659	0.012583
472.25	10.1262	0.0111679
480.15	10.1166	0.00750835
484.1	10.1134	0.0146481
492	10.0915	0.00991839
515.7	10.1795	0.0184744
531.5	10.0787	0.0163325
535.45	10.0303	0.0163897
539.4	10.0291	0.00680611
543.35	10.0111	0.00730266
547.3	10.0098	0.00736335
551.25	10.0395	0.00212372
555.2	10.1309	0.00958801
574.95	9.98482	0.01723
578.9	9.96455	0.00977076
582.85	10.0533	0.010056
586.8	10.2572	0.00957598
590.75	10.4933	0.0102689
594.7	10.7507	0.0106362
598.65	11.0319	0.00849152
602.6	11.3092	0.00907525
606.55	11.5988	0.00809111
610.5	11.8605	0.00787952
614.45	12.1504	0.00750261
618.4	12.4464	0.00844935
622.35	12.7432	0.00700365
626.3	13.0362	0.0079288
630.25	13.3359	0.00887707
634.2	13.6312	0.0102243
638.15	13.929	0.011691
642.1	14.2373	0.010652
646.05	14.5469	0.00953628
