Distance (nm)	Force (pN)	ForceErr (pN)
275	0.878492	0.00839465
277.45	0.9583	0.0114787
279.9	0.957976	0.00605855
282.35	0.988625	0.0120156
284.8	1.03294	0.00714807
287.25	1.11368	0.00643452
289.7	1.1572	0.0099363
292.15	1.21291	0.00965884
294.6	1.25399	0.00822749
297.05	1.31991	0.0117354
299.5	1.37922	0.0149772
301.95	1.45863	0.00742508
304.4	1.55174	0.00495415
306.85	1.61237	0.0101847
309.3	1.68467	0.0068847
311.75	1.77792	0.00759194
314.2	1.87798	0.00995006
316.65	2.00532	0.00726565
319.1	2.11336	0.00621116
321.55	2.18558	0.0112923
324	2.32721	0.00607137
326.45	2.46538	0.00829155
328.9	2.57279	0.00631872
331.35	2.69905	0.00784043
333.8	2.86303	0.00606011
336.25	2.96854	0.00716876
338.7	3.14215	0.00447585
341.15	3.28063	0.00698412
343.6	3.46047	0.00771855
346.05	3.62517	0.00844851
348.5	3.78933	0.00739968
350.95	3.96325	0.00530212
353.4	4.14809	0.0105909
355.85	4.32745	0.0128655
358.3	4.50487	0.0148094
360.75	4.72054	0.0121236
363.2	4.8965	0.0126665
365.65	5.0974	0.0122217
368.1	5.29933	0.0135248
370.55	5.48854	0.0159752
373	5.68331	0.0166104
375.45	5.9028	0.0147536
377.9	6.10215	0.0139285
380.35	6.32853	0.0146162
382.8	6.52718	0.013967
385.25	6.73816	0.0138207
387.7	6.95111	0.0171119
390.15	7.15295	0.0189428
392.6	7.37682	0.0148619
395.05	7.62545	0.0126424
397.5	7.84557	0.0142877
399.95	8.06776	0.0161252
402.4	8.29779	0.013568
404.85	8.52558	0.0138484
407.3	8.76344	0.0178441
412.2	9.21049	0.0118394
458.75	11.2744	0.0882666
461.2	11.2319	0.0474067
463.65	11.1925	0.0194261
466.1	11.3509	0.0174481
468.55	11.5342	0.0130135
471	11.7517	0.0138411
473.45	11.956	0.0128342
475.9	12.1792	0.0115585
478.35	12.4171	0.0141289
480.8	12.6445	0.0118984
483.25	12.8715	0.0109866
485.7	13.0909	0.00973045
488.15	13.3043	0.0152386
490.6	13.531	0.0160242
493.05	13.7588	0.0155185
495.5	14.0161	0.0157772
497.95	14.2535	0.0105107
500.4	14.4753	0.0114735
502.85	14.7091	0.0118375
505.3	14.929	0.0155465
507.75	15.1661	0.0147295
510.2	15.4298	0.0145815
512.65	15.6626	0.0190803
515.1	15.9023	0.0175394
517.55	16.1336	0.0213207
