Distance (nm)	Force (pN)	ForceErr (pN)
258.998	0.675868	0.0737161
261.998	0.660989	0.0566644
267.998	0.699488	0.0923469
270.997	0.807553	0.0621306
279.997	0.897014	0.0667622
282.998	0.951241	0.0649466
285.997	1.00885	0.0740695
288.997	1.05018	0.0708763
294.998	1.21909	0.0730878
297.997	1.28661	0.0766293
303.998	1.55071	0.058373
306.998	1.62595	0.0790926
309.998	1.78545	0.0850421
312.998	1.84098	0.0866765
315.998	2.00508	0.0684273
318.998	2.1255	0.0510437
321.998	2.30651	0.0627199
327.997	2.74827	0.0598189
330.998	2.90041	0.0542763
336.998	3.31621	0.0704719
339.997	3.5622	0.0607779
342.997	3.72544	0.0766234
345.997	4.05665	0.0634966
348.997	4.32419	0.0689238
351.998	4.58057	0.0753045
354.998	4.90153	0.0713409
357.998	5.13806	0.0592647
360.998	5.45075	0.0628477
363.998	5.76982	0.0676079
366.998	6.06425	0.0612846
369.998	6.37334	0.0382991
372.998	6.72002	0.0616644
375.998	7.06125	0.0458992
378.998	7.39536	0.0629478
381.998	7.73964	0.0498083
384.998	8.03539	0.0547359
387.998	8.43914	0.056283
390.998	8.813	0.0601801
399.997	9.93546	0.0639372
429.998	12.9125	0.0733087
438.997	12.5858	0.32719
441.997	11.4227	0.0835738
444.997	11.6488	0.0976256
447.997	11.9052	0.0468293
450.998	12.2289	0.049785
453.998	12.5834	0.0408518
456.999	12.9461	0.0460846
459.999	13.2845	0.0427492
462.998	13.6066	0.0380424
465.998	14.0019	0.0338119
468.997	14.3669	0.0357394
471.997	14.7876	0.0417581
474.997	15.1525	0.047179
477.996	15.5022	0.0428791
480.996	15.9012	0.0500611
483.996	16.2674	0.0428411
486.996	16.6066	0.0307212
489.997	16.9919	0.0261497
492.998	17.4136	0.0376974
495.997	17.8332	0.0316024
498.997	18.2517	0.027507
501.997	18.643	0.0329486
504.997	19.0539	0.0314052
510.997	19.8224	0.0186762
513.997	20.2367	0.0252177
516.997	20.6271	0.0323965
519.997	21.0566	0.0251098
522.997	21.478	0.02837
525.998	21.913	0.0216696
528.998	22.3608	0.0070761
531.998	22.7731	0.0162164
534.998	23.182	0.0164735
537.997	23.6204	0.0195793
540.997	24.0359	0.019317
