Distance (nm)	Force (pN)	ForceErr (pN)
249.997	0.457264	0.0043416
253.797	0.512266	0.0230002
261.397	0.460317	0.0385408
265.197	0.625871	0.00956925
268.998	0.537192	0.0193981
276.598	0.58227	0.0448989
284.197	0.720405	0.018393
287.997	0.873291	0.0213283
291.797	0.893193	0.00587547
295.598	0.855235	0.0153554
299.398	1.00646	0.00172834
306.998	1.21777	0.00839959
310.797	1.34488	0.00221467
314.597	1.50363	0.0308312
322.197	1.79643	0.00371152
325.998	2.01428	0.0158641
329.798	2.18476	0.00611443
333.598	2.41354	0.0369846
337.397	2.65437	0.0097229
341.197	2.8598	0.0117475
344.997	3.16371	0.00191539
348.797	3.35429	0.0021983
352.597	3.6404	0.0208736
356.397	3.90387	0.00540777
360.198	4.25206	0.0045059
363.998	4.52041	0.0334536
367.798	4.8521	0.020211
371.597	5.18291	0.0101775
379.197	5.8223	0.0200378
405.797	8.09391	0.00445707
409.597	8.39154	0.00337013
443.798	9.35452	0.0125455
447.598	9.29068	0.0135008
451.398	9.28438	0.00775211
458.997	9.23383	0.0939056
462.797	9.38628	0.0476309
470.397	9.32649	0.0196754
474.197	9.32236	0.0125519
481.799	9.14509	0.0241268
489.397	9.31525	0.0165781
496.998	9.29803	0.0546399
508.398	9.53289	0.068205
515.998	9.36563	0.0220146
523.597	9.3121	0.0113595
531.197	9.23516	0.0282029
546.397	9.23697	0.048753
550.198	9.32454	0.0277421
569.198	9.41556	0.0277256
572.998	9.24175	0.0129442
576.798	9.25153	0.0137824
580.597	9.39115	0.00595948
584.397	9.66762	0.00144935
588.197	9.88987	0.00580177
591.997	10.1314	0.000640368
595.797	10.3248	0.00284939
603.397	10.8243	0.00883066
607.196	11.0974	0.00895773
610.998	11.3508	0.00751008
614.798	11.5725	0.00570462
626.198	12.4007	0.00603046
