Distance (nm)	Force (pN)	ForceErr (pN)
250	0.632978	0.00807127
253	0.636269	0.0160631
256	0.704863	0.0147602
262	0.734657	0.0113793
265	0.760833	0.01232
268	0.81533	0.0150197
271	0.869969	0.0149545
274	0.917291	0.0106924
277	0.971152	0.0152293
280	0.998917	0.0154892
283	1.06562	0.00950281
286	1.11734	0.0131383
289	1.17643	0.00740549
292	1.23013	0.00890221
295	1.3056	0.0114551
301	1.48263	0.00789886
304	1.54746	0.00733538
307	1.64722	0.00828385
310	1.75123	0.0119745
313	1.83919	0.01081
316	1.96564	0.0132103
319	2.07361	0.0142988
322	2.21677	0.00965573
325	2.33173	0.0153192
328	2.47103	0.0140703
331	2.63301	0.0166954
334	2.78889	0.0220783
337	2.95774	0.0150417
340	3.13844	0.0169322
343	3.32621	0.0163426
346	3.51933	0.0219316
349	3.72666	0.0232506
352	3.93184	0.0199378
355	4.14413	0.0203431
358	4.36285	0.0242507
361	4.57895	0.0214947
364	4.8084	0.0198835
367	5.03876	0.0149808
370	5.28455	0.0223688
373	5.51101	0.0238428
376	5.74535	0.0234151
379	6.00714	0.025609
382	6.26793	0.020999
385	6.50623	0.0199378
388	6.75498	0.0248369
391	7.01316	0.0237839
394	7.29618	0.0208628
397	7.56178	0.0178366
400	7.83934	0.023086
403	8.10168	0.0311471
406	8.38745	0.0309529
409	8.66166	0.023241
412	8.90011	0.0241017
415	9.1915	0.0196051
418	9.5027	0.0266893
472	13.0188	0.0202037
478	13.124	0.0444614
499	12.1124	0.0741773
502	12.0635	0.0172498
505	12.2621	0.00822115
508	12.455	0.0129133
511	12.7115	0.0143936
514	12.979	0.0133446
517	13.239	0.0108146
520	13.5373	0.00931179
523	13.8047	0.00953218
526	14.0986	0.00807715
529	14.3745	0.0135307
532	14.6465	0.0215682
535	14.9298	0.0172717
538	15.1967	0.0161417
541	15.4831	0.017896
544	15.7764	0.0204774
547	16.064	0.0228578
