Distance (nm)	Force (pN)	ForceErr (pN)
249.999	0.631605	0.0145301
252.598	0.635846	0.0143327
255.199	0.742097	0.0259163
257.799	0.724053	0.0156351
260.399	0.739187	0.0212701
262.999	0.826842	0.017977
265.599	0.861638	0.0142639
268.199	0.933977	0.0136384
275.999	1.01988	0.0171964
278.599	1.07908	0.0102392
283.799	1.21642	0.00904963
286.399	1.2791	0.0207667
288.999	1.36174	0.0204503
291.599	1.44755	0.0128357
294.199	1.51377	0.0233925
296.799	1.66611	0.00956874
299.399	1.73941	0.0166086
301.999	1.83258	0.0185415
304.599	1.92705	0.0233166
307.199	2.05896	0.0203143
309.798	2.14111	0.0291777
312.399	2.27213	0.0147178
314.999	2.46403	0.0128329
317.599	2.56372	0.022031
320.199	2.69691	0.0261321
322.799	2.86672	0.0134945
325.399	3.03592	0.0166132
327.999	3.18134	0.0261568
330.599	3.38093	0.0167465
333.199	3.54835	0.02343
335.799	3.75379	0.0106653
338.399	3.92242	0.0169674
340.999	4.08041	0.0223252
343.599	4.28524	0.0146517
346.199	4.49757	0.0128519
348.799	4.69309	0.0193195
351.399	4.91831	0.0167253
353.999	5.09362	0.0274914
356.599	5.30689	0.0312822
359.199	5.49846	0.017764
361.799	5.77242	0.0150613
364.399	5.98338	0.0113013
366.999	6.17899	0.0129898
369.599	6.37711	0.0160603
372.199	6.63206	0.0143547
374.799	6.88777	0.00508936
377.399	7.132	0.00637909
379.999	7.31073	0.0110823
382.599	7.58578	0.00803334
385.199	7.78161	0.022277
387.799	7.98039	0.0208878
390.399	8.24872	0.0127898
392.999	8.48026	0.00877588
398.199	8.95137	0.00344517
400.799	9.21948	0.0167367
403.399	9.45662	0.0219161
463.199	12.8575	0.0145473
478.8	12.4856	0.160071
481.399	11.5948	0.058137
483.999	11.6277	0.0266842
486.599	11.7887	0.0241183
489.199	11.9718	0.0176672
491.799	12.22	0.0151479
494.399	12.4417	0.0108393
496.999	12.6351	0.0149156
499.599	12.8903	0.0153511
502.199	13.1105	0.0100386
507.399	13.5601	0.0144307
