Distance (nm)	Force (pN)	ForceErr (pN)
251.997	0.681756	0.0239244
255.998	0.761513	0.018076
257.997	0.817296	0.0252133
265.998	0.893752	0.0175211
273.998	1.02565	0.017387
275.998	1.03703	0.0167111
277.998	1.13341	0.0170129
285.998	1.31434	0.015752
287.999	1.35705	0.0160121
289.998	1.50875	0.0253217
293.997	1.65289	0.0193436
295.998	1.69491	0.0180656
297.998	1.73553	0.0160305
299.998	1.82948	0.0189868
301.998	1.93459	0.0201448
303.998	1.99338	0.0214638
305.997	2.09509	0.0268079
307.997	2.14922	0.0219186
309.997	2.28426	0.0160166
311.998	2.42074	0.0188551
313.998	2.52439	0.020114
315.998	2.62414	0.0204989
317.997	2.7302	0.0229447
319.997	2.83779	0.0160621
321.997	2.92688	0.0191644
323.998	3.09889	0.0185227
325.999	3.24135	0.0178259
327.998	3.39244	0.0185561
329.996	3.57263	0.0173642
331.997	3.70215	0.0208703
333.998	3.87903	0.023563
335.999	4.01958	0.0236338
337.998	4.14137	0.0203394
339.997	4.2601	0.0190489
341.997	4.45508	0.0193745
343.998	4.64108	0.0189101
345.998	4.79177	0.023922
347.997	4.97352	0.0206822
351.998	5.33595	0.0159341
353.998	5.53051	0.0247044
355.998	5.72999	0.0211679
357.997	5.92088	0.0184614
359.997	6.11965	0.0185386
361.998	6.28979	0.0225674
363.998	6.46826	0.020622
365.998	6.68956	0.0248228
409.997	9.04161	0.0633462
411.997	8.75672	0.0375576
413.997	8.94591	0.0355261
415.997	8.96026	0.0237741
417.997	9.10555	0.0158299
419.997	9.27612	0.0228399
421.998	9.46952	0.0192994
423.998	9.65796	0.0205153
425.997	9.84689	0.0240797
427.997	10.0384	0.0213583
429.997	10.2342	0.0184222
431.997	10.4299	0.0191991
433.998	10.6463	0.018477
437.997	11.1115	0.0218074
439.997	11.3243	0.0203422
441.997	11.5585	0.0213539
443.998	11.7684	0.0220967
445.998	11.983	0.018108
447.997	12.1897	0.0207038
