Distance (nm)	Force (pN)	ForceErr (pN)
269.998	0.997432	0.0234255
272.698	1.01872	0.0165906
278.098	1.13746	0.0218114
280.798	1.27344	0.022106
283.498	1.29254	0.0214671
286.198	1.23317	0.0163398
288.898	1.25018	0.0214903
294.298	1.35584	0.0118615
296.999	1.47888	0.0141883
299.698	1.54204	0.0292725
302.397	1.60377	0.0190759
305.097	1.6771	0.0230202
307.798	1.7363	0.00344742
310.498	1.8788	0.0106407
313.198	2.09028	0.0202695
315.897	2.17623	0.0215793
318.598	2.23126	0.021366
321.298	2.42659	0.0295281
323.998	2.57311	0.0168148
326.698	2.71618	0.0218317
329.398	2.82674	0.0184398
332.098	2.99017	0.00862764
334.798	3.13803	0.0131638
337.498	3.34433	0.0166469
340.199	3.49962	0.00925919
342.899	3.67744	0.0110886
345.598	3.88637	0.0113472
348.297	4.0458	0.00545736
350.998	4.25811	0.00798544
353.698	4.43247	0.0154795
356.397	4.64398	0.0158788
359.098	4.88409	0.00698453
361.798	5.13589	0.00698473
364.498	5.3313	0.0103899
367.197	5.53521	0.00961347
372.598	5.97674	0.00851353
375.299	6.21369	0.0135411
377.998	6.46925	0.00465326
386.098	7.16881	0.00416227
388.798	7.41677	0.0101923
391.498	7.65733	0.00778372
394.197	7.90047	0.00816002
396.898	8.15416	0.00652463
399.598	8.45437	0.0113299
402.298	8.67835	0.0109111
407.698	9.18782	0.00355784
458.998	12.4242	0.0628469
461.698	12.2318	0.039075
464.398	12.4633	0.0439106
467.098	12.392	0.024462
469.798	12.6552	0.0530841
472.497	12.578	0.0595748
475.197	12.4791	0.152124
485.998	11.716	0.0822614
488.698	11.4503	0.00891734
491.399	11.6709	0.0105479
494.098	11.8801	0.0136382
496.798	12.1704	0.0127697
499.498	12.3307	0.0137136
502.198	12.5588	0.00657295
504.898	12.7899	0.0094078
507.597	13.0217	0.019483
510.298	13.2443	0.0143365
512.998	13.4906	0.0108038
515.699	13.7042	0.0111986
518.398	13.9401	0.00700296
521.098	14.1905	0.00942707
523.798	14.4353	0.00780293
526.498	14.6562	0.00955427
529.199	14.9034	0.0120181
531.899	15.1215	0.00719682
534.598	15.3808	0.0136291
537.298	15.6235	0.0121834
