Distance (nm)	Force (pN)	ForceErr (pN)
250	0.652799	0.0126378
253.3	0.686225	0.00443003
259.9	0.759798	0.0103555
263.2	0.82323	0.00598343
266.5	0.864602	0.00809005
269.8	0.949719	0.00627704
273.1	0.982761	0.00625236
276.4	1.05729	0.00717881
279.7	1.11308	0.00810483
283	1.21505	0.00454592
286.3	1.29087	0.0101773
289.6	1.39149	0.00889936
292.9	1.51995	0.00606341
296.2	1.623	0.00854994
299.5	1.7399	0.00682785
302.8	1.8682	0.00547945
306.1	2.01468	0.00883003
309.4	2.18568	0.0146073
312.7	2.33238	0.00824162
316	2.5066	0.00773281
319.3	2.6723	0.00395144
322.6	2.8548	0.00592512
325.9	3.0464	0.0127528
329.2	3.25766	0.0122956
332.5	3.48579	0.00912221
335.8	3.70036	0.00868185
339.1	3.94143	0.00580392
342.4	4.16524	0.0074114
345.7	4.40235	0.00719308
349	4.642	0.00838165
352.3	4.89148	0.00923414
355.6	5.15566	0.0120804
358.9	5.42693	0.0101336
362.2	5.69126	0.00954457
365.5	5.94397	0.00818262
368.8	6.22482	0.00763911
372.1	6.52498	0.0119569
375.4	6.79984	0.00933103
378.7	7.07553	0.00988575
382	7.36816	0.00891763
385.3	7.65653	0.00955667
388.6	7.9342	0.0101753
391.9	8.2291	0.00794025
395.2	8.53533	0.00812665
398.5	8.83094	0.0117406
401.8	9.13332	0.0117235
405.1	9.42096	0.0127176
411.7	10.0256	0.0130983
464.5	13.2771	0.0208647
467.8	13.2894	0.0470238
471.1	13.4909	0.0300501
474.4	13.3775	0.0320929
490.9	12.6531	0.0642185
494.2	12.5599	0.0638439
497.5	12.5909	0.0188268
500.8	12.8159	0.0152483
504.1	13.066	0.00940645
507.4	13.3404	0.0136223
510.7	13.606	0.0125753
514	13.8921	0.0158523
517.3	14.2026	0.0140877
520.6	14.5031	0.0141134
523.9	14.7907	0.0183946
527.2	15.066	0.0144846
530.5	15.3604	0.012325
533.8	15.6693	0.010811
537.1	15.9731	0.0102662
540.4	16.2724	0.0119167
543.7	16.5663	0.0106097
547	16.8611	0.0127275
550.3	17.1785	0.0118775
553.6	17.5083	0.010449
556.9	17.8416	0.00579902
560.2	18.1585	0.0085444
563.5	18.4428	0.0162113
566.8	18.7517	0.019601
570.1	19.0686	0.0153524
573.4	19.3678	0.0173625
576.7	19.691	0.0206264
