Distance (nm)	Force (pN)	ForceErr (pN)
249.992	0.448878	0.0256317
253.49	0.522901	0.0228585
263.994	0.668491	0.0185426
267.491	0.755861	0.0361517
274.492	0.724203	0.025978
277.993	0.766616	0.0238176
281.493	0.834996	0.0424119
284.992	0.920875	0.0205221
288.49	1.01635	0.0329093
291.988	1.15464	0.028815
295.491	1.13336	0.0258684
298.995	1.24058	0.037402
302.494	1.37857	0.011786
305.991	1.43951	0.0129697
312.99	1.70767	0.0274513
319.993	1.95677	0.0158201
323.493	2.15289	0.0275217
326.992	2.38829	0.0193467
330.492	2.60903	0.0271306
333.991	2.87017	0.0190974
337.491	3.15248	0.0126969
340.991	3.36573	0.0119462
347.993	3.96288	0.0119374
351.492	4.1914	0.0120383
354.992	4.53289	0.0234886
358.493	4.78614	0.012562
361.991	5.17859	0.0151442
365.49	5.54963	0.0183301
368.991	5.88897	0.0197422
372.491	6.24505	0.0191814
379.492	6.99561	0.0181028
393.491	8.35968	0.0232595
417.994	9.6253	0.0339959
421.495	9.7433	0.0528536
424.994	9.6665	0.0751596
438.993	9.81145	0.0588653
470.491	9.72789	0.0705027
473.991	9.91533	0.0765012
487.99	9.87445	0.0276912
491.492	9.63187	0.0150586
498.494	9.80509	0.0219731
505.491	9.86167	0.0437825
508.991	9.66633	0.126013
515.993	9.48373	0.0681284
519.494	9.27959	0.033176
522.991	9.54215	0.0198769
526.491	9.6901	0.00538857
529.991	9.89698	0.00982191
533.491	10.1751	0.00878483
536.993	10.4138	0.0120785
540.493	10.6885	0.0118007
547.491	11.2945	0.0101157
550.991	11.5824	0.00716327
557.991	12.1496	0.0149103
561.492	12.4721	0.011992
568.493	13.0744	0.0141537
571.992	13.3888	0.00657229
575.491	13.7033	0.00959216
578.991	14.076	0.00960472
582.491	14.4107	0.0117624
585.992	14.7434	0.00471239
589.492	15.0698	0.0102473
592.992	15.4109	0.0115021
596.492	15.8101	0.0152307
