Distance (nm)	Force (pN)	ForceErr (pN)
249.997	0.71742	0.0170261
256.598	0.786871	0.0133687
259.898	0.825417	0.0080628
263.198	0.889438	0.0184519
266.498	0.956466	0.0139571
269.797	0.997857	0.0221614
273.097	1.02629	0.0152953
276.397	1.09328	0.0184578
279.698	1.15145	0.0152661
282.998	1.22144	0.0131922
286.298	1.33968	0.0115942
289.597	1.39248	0.0126515
292.897	1.45523	0.0116345
296.197	1.57457	0.0125264
299.497	1.73301	0.0182206
302.798	1.81754	0.0149676
306.098	1.95029	0.0148691
309.397	2.05959	0.0148949
312.697	2.21206	0.0161351
315.997	2.35947	0.0128188
319.297	2.49285	0.0212927
322.597	2.66373	0.0154938
325.898	2.86857	0.0164969
329.198	3.03472	0.0149233
332.498	3.2035	0.0174302
335.797	3.39646	0.021093
339.097	3.63535	0.0148232
342.397	3.87863	0.0221789
345.697	4.08663	0.0149305
348.997	4.27884	0.0112103
352.298	4.5431	0.0159523
355.598	4.80082	0.0164456
358.897	5.04016	0.0147004
362.197	5.29171	0.0194097
365.497	5.56323	0.0168785
368.798	5.82152	0.0151533
372.098	6.09673	0.0153044
375.397	6.38079	0.0112954
378.697	6.65395	0.00830833
381.997	6.94346	0.0148275
385.298	7.19294	0.0141827
388.598	7.50122	0.0185332
391.898	7.76006	0.015813
395.198	8.05746	0.0130482
398.497	8.36164	0.0166302
401.797	8.65173	0.0156524
405.097	8.91611	0.0163568
408.398	9.23191	0.016887
411.698	9.51159	0.0135328
414.998	9.83691	0.0127485
471.098	13.1695	0.0530028
487.598	13.5867	0.0505031
490.898	13.3907	0.144204
497.497	12.7411	0.154353
500.797	12.5259	0.0480754
504.098	12.6167	0.0169317
507.398	12.8866	0.0140029
510.698	13.1882	0.0135356
513.997	13.4613	0.0114842
517.296	13.731	0.0106482
520.596	14.0245	0.0130045
523.897	14.3256	0.0140806
527.198	14.6134	0.0143466
530.498	14.8879	0.0139629
533.798	15.2044	0.0120703
537.097	15.4741	0.0140476
540.398	15.7808	0.012185
543.698	16.0797	0.0126288
546.997	16.3974	0.0158601
550.297	16.7041	0.0182684
553.597	16.9898	0.0187664
556.897	17.306	0.013466
560.197	17.6368	0.0139007
563.498	17.9066	0.0137455
566.798	18.2378	0.0133911
570.097	18.53	0.0111206
573.397	18.8231	0.0106893
