Distance (nm)	Force (pN)	ForceErr (pN)
250	0.405918	0.0111947
252.399	0.389243	0.0180373
254.799	0.438806	0.00289083
257.199	0.448006	0.00954704
259.599	0.48382	0.0122871
261.999	0.48098	0.0144743
269.2	0.573494	0.00774013
271.599	0.565259	0.00782014
273.999	0.625276	0.00653042
276.399	0.682878	0.00790426
283.599	0.804056	0.0135062
288.399	0.868688	0.0111749
290.799	0.947732	0.0177148
293.199	1.01456	0.0121121
297.999	1.09128	0.0229652
300.399	1.21372	0.012438
302.799	1.25306	0.0196978
305.199	1.35194	0.0129666
307.599	1.40278	0.00779707
309.999	1.50949	0.0165668
312.399	1.56231	0.0142128
314.799	1.65835	0.00218347
317.199	1.75153	0.00600805
319.599	1.86629	0.00961044
321.999	2.03841	0.0145396
324.399	2.11014	0.0158736
326.799	2.24859	0.023988
329.199	2.38136	0.014987
331.599	2.5197	0.0213373
333.999	2.65223	0.0164052
336.399	2.80295	0.0125105
338.799	2.98553	0.0105492
341.199	3.12758	0.00871411
343.599	3.27094	0.00754494
345.999	3.44322	0.0016389
348.399	3.62738	0.00927667
350.799	3.79096	0.0125379
353.199	3.99577	0.0097343
355.599	4.21252	0.00500819
357.999	4.39444	0.0118219
360.399	4.61188	0.0143088
362.799	4.79506	0.0101228
365.199	4.9965	0.00898568
367.599	5.22411	0.0138324
369.999	5.42396	0.0220807
372.399	5.68007	0.0115264
374.799	5.88615	0.011771
377.199	6.0965	0.0133258
379.6	6.36329	0.0159632
381.999	6.58067	0.0165441
429.999	9.26654	0.0233078
432.399	9.14799	0.0133378
434.799	9.09727	0.0272974
437.199	9.27342	0.0174933
439.599	9.48419	0.0171748
441.999	9.67639	0.0127912
444.4	9.90662	0.0169914
446.799	10.1295	0.015722
449.199	10.3421	0.0229565
451.599	10.587	0.016439
453.999	10.8118	0.0192399
456.399	11.0425	0.0143672
458.799	11.2898	0.0109864
461.199	11.5178	0.0115304
463.6	11.7296	0.0192461
465.999	11.9928	0.0161184
468.399	12.2502	0.012891
470.799	12.4855	0.0119949
473.199	12.7294	0.00750649
475.599	12.9849	0.00890337
477.999	13.2665	0.0112977
480.399	13.4986	0.0164686
482.8	13.7482	0.015005
485.199	14.006	0.0173104
487.599	14.237	0.0161023
