Distance (nm)	Force (pN)	ForceErr (pN)
250	0.935995	0.0170931
252.2	0.969819	0.0231887
254.4	1.0379	0.0153602
256.6	1.04053	0.0169653
258.8	1.10041	0.015362
261	1.162	0.0189946
263.2	1.19775	0.0127033
265.4	1.24803	0.0196665
267.6	1.32321	0.0188906
269.8	1.3937	0.0232075
272	1.41696	0.0134373
274.2	1.50129	0.012295
276.4	1.5629	0.0176606
278.6	1.62435	0.0172633
280.8	1.68528	0.0161685
283	1.76026	0.0162074
285.2	1.86627	0.015619
287.4	1.91747	0.0137248
289.6	2.01479	0.0123849
291.8	2.09343	0.0151811
294	2.19241	0.0168701
296.2	2.28033	0.0233219
298.4	2.4145	0.0186509
300.6	2.51465	0.0157699
302.8	2.63414	0.0199516
305	2.77049	0.015059
307.2	2.86763	0.0194371
309.4	2.99418	0.0171337
311.6	3.14734	0.0181463
313.8	3.27167	0.0165958
316	3.41145	0.0154987
318.2	3.56199	0.0147939
320.4	3.69522	0.0160822
322.6	3.85824	0.0159194
324.8	4.02227	0.0185909
327	4.15892	0.0194869
329.2	4.32479	0.0188841
331.4	4.49775	0.0207095
333.6	4.6661	0.0208831
335.8	4.84314	0.0202693
338	5.02524	0.0155059
340.2	5.19711	0.0181765
342.4	5.37479	0.0156799
344.6	5.55834	0.0154225
346.8	5.73825	0.0161492
349	5.93885	0.0167858
351.2	6.12921	0.0179595
353.4	6.31949	0.0173048
355.6	6.5126	0.019989
410.6	9.58033	0.0587074
412.8	9.52234	0.0500385
415	9.52404	0.0238338
417.2	9.68396	0.0280412
419.4	9.85462	0.0129629
421.6	10.0041	0.0143057
423.8	10.1835	0.014409
426	10.3723	0.0161311
428.2	10.5785	0.0161311
430.4	10.7914	0.0167151
432.6	10.9837	0.0174396
434.8	11.1988	0.0177041
437	11.403	0.0158093
439.2	11.6188	0.0155956
441.4	11.8365	0.0153496
443.6	12.0567	0.01656
445.8	12.271	0.0173812
448	12.4881	0.0185304
450.2	12.703	0.0174388
452.4	12.9335	0.018844
454.6	13.1571	0.0193733
456.8	13.3709	0.0206908
459	13.5967	0.0193339
461.2	13.8092	0.0186909
463.4	14.0242	0.018828
465.6	14.2413	0.0198314
467.8	14.4628	0.0169604
