Distance (nm)	Force (pN)	ForceErr (pN)
249.998	0.416161	0.0118047
253.998	0.451267	0.0121734
255.998	0.4502	0.00809451
257.998	0.486057	0.0120949
261.998	0.53286	0.00907782
265.998	0.586769	0.0110758
267.998	0.643229	0.0123342
269.998	0.604818	0.0114336
271.998	0.668137	0.00934561
273.998	0.683878	0.0115451
275.998	0.715429	0.00803717
277.998	0.724919	0.0102571
281.998	0.779234	0.0118969
283.998	0.855358	0.0102399
289.998	0.945767	0.00808409
291.998	1.01421	0.0120825
293.998	1.06149	0.0110514
295.998	1.0948	0.0103915
297.998	1.16004	0.00714739
299.998	1.19086	0.010872
301.998	1.26156	0.0121008
303.998	1.32936	0.00929491
305.998	1.39483	0.00731081
307.998	1.47928	0.00932308
309.998	1.5333	0.00989691
311.998	1.60903	0.00803769
313.998	1.67391	0.00936511
315.998	1.7792	0.00818882
317.998	1.87091	0.00913084
319.998	1.96034	0.0092313
321.998	2.07822	0.0087004
323.998	2.16168	0.00991357
325.998	2.26187	0.00874148
327.998	2.3926	0.00980022
329.998	2.49791	0.00762179
331.998	2.62776	0.00817916
333.998	2.73871	0.00792121
335.998	2.86582	0.0075273
337.998	3.01135	0.00895743
339.998	3.14405	0.0096113
341.998	3.28436	0.0101944
343.998	3.4212	0.00911585
345.998	3.57703	0.00823768
347.998	3.74187	0.00876669
349.998	3.87339	0.0081585
351.998	4.03126	0.00845966
353.998	4.20965	0.00778198
355.998	4.36622	0.00873274
357.998	4.53107	0.00600169
359.998	4.70657	0.00719957
361.998	4.87828	0.00560629
363.998	5.04793	0.0076228
365.998	5.23535	0.00742807
367.998	5.41789	0.00707891
369.998	5.59391	0.00716297
371.998	5.77967	0.00662272
373.998	5.96657	0.00612024
375.998	6.14454	0.00630069
377.998	6.33712	0.00757595
379.998	6.51524	0.00646525
381.998	6.71067	0.00744804
409.998	8.63246	0.0306499
411.998	8.52294	0.0272692
413.998	8.57909	0.0258583
415.998	8.62933	0.0225397
417.998	8.763	0.0181533
419.998	8.83898	0.00857407
421.998	8.99469	0.0104928
423.998	9.19239	0.00710629
425.998	9.37621	0.00890541
427.998	9.56146	0.008323
429.998	9.77062	0.00945519
431.998	9.96775	0.00768708
433.998	10.1604	0.00843488
435.998	10.3662	0.00718203
437.998	10.5666	0.00791316
439.998	10.7626	0.00844842
441.998	10.9672	0.00869645
443.998	11.152	0.00842061
445.998	11.3737	0.008523
447.998	11.5825	0.00758718
