Distance (nm)	Force (pN)	ForceErr (pN)
252.498	0.881649	0.014173
257.497	0.903724	0.00757601
262.498	0.953694	0.0101983
264.998	0.958716	0.00895497
269.997	1.12493	0.0173689
272.497	1.15192	0.0126735
274.998	1.21906	0.0225782
277.498	1.28798	0.0143343
279.997	1.30723	0.0112086
284.997	1.47366	0.0149745
289.998	1.59445	0.00995256
292.497	1.68889	0.00458184
294.997	1.76007	0.0167928
297.497	1.86153	0.0168621
299.998	1.90766	0.0166376
302.497	2.02773	0.0131025
304.997	2.15756	0.00999859
307.498	2.23315	0.0063005
309.997	2.37982	0.0121554
312.498	2.4667	0.00876852
314.997	2.64732	0.0065637
317.497	2.74124	0.0149572
319.998	2.94423	0.00928952
322.498	3.08149	0.015297
324.997	3.20152	0.0133495
327.498	3.36316	0.0132814
329.998	3.52081	0.0134326
332.498	3.6602	0.0121132
334.998	3.85462	0.0123708
337.498	4.06719	0.014673
339.998	4.19726	0.0132556
342.498	4.38513	0.0134668
344.998	4.60149	0.0155494
347.497	4.78419	0.0124326
349.997	4.97974	0.0138467
352.498	5.15832	0.0157401
354.998	5.36927	0.0159363
357.497	5.56564	0.0100148
359.997	5.77727	0.0110985
364.997	6.20544	0.00562711
367.497	6.39446	0.00936607
369.997	6.62445	0.0140036
419.997	9.696	0.106721
422.497	9.41064	0.114273
424.998	9.26553	0.0470863
427.498	9.30883	0.0514364
429.998	9.42942	0.0152346
432.497	9.5654	0.0140168
434.997	9.73957	0.0145063
437.497	9.96588	0.0134413
439.997	10.182	0.0134937
442.498	10.3972	0.0141231
444.998	10.6363	0.0131856
447.497	10.856	0.0142954
449.998	11.0722	0.0101273
452.498	11.3039	0.0133679
454.998	11.5567	0.0134233
457.498	11.7861	0.010958
462.498	12.2542	0.0164424
464.998	12.4866	0.0133114
469.997	13.0009	0.0152957
472.497	13.2377	0.0179794
474.998	13.4733	0.0131083
477.498	13.7362	0.0141707
479.998	13.9838	0.01799
482.498	14.2335	0.0139488
484.997	14.4801	0.0140293
487.497	14.7221	0.0208724
489.998	14.9738	0.0132341
492.497	15.2187	0.0130396
494.998	15.4906	0.0116646
497.498	15.7353	0.0140272
