Distance (nm)	Force (pN)	ForceErr (pN)
249.995	1.15927	0.0111301
252.995	1.18161	0.0157153
255.995	1.18006	0.0184313
258.995	1.26623	0.0186133
264.997	1.3633	0.0103919
267.997	1.43546	0.0109926
270.996	1.51284	0.011891
273.996	1.54911	0.0129933
276.997	1.623	0.0168607
279.998	1.6823	0.0102182
282.997	1.84189	0.0201602
285.997	1.85232	0.0121066
291.996	2.08245	0.0120742
294.996	2.17901	0.0170147
297.996	2.28439	0.0133762
300.995	2.41728	0.0165266
303.995	2.55522	0.0208774
306.994	2.6706	0.0168494
309.995	2.83809	0.0235254
312.995	2.99922	0.0148908
315.995	3.13719	0.0135832
318.994	3.35638	0.0203124
321.996	3.51725	0.0177229
324.997	3.76678	0.0279221
327.997	3.96953	0.022049
330.998	4.19616	0.026757
333.997	4.4166	0.0243961
336.998	4.64697	0.0197981
339.998	4.91463	0.0266739
342.997	5.16687	0.0277428
345.997	5.46194	0.0270728
348.997	5.68505	0.0267984
351.996	5.93873	0.0242806
354.997	6.24326	0.0265736
357.997	6.56989	0.0282736
360.996	6.85886	0.0345547
363.996	7.16089	0.0337377
366.996	7.44678	0.0292238
369.995	7.80294	0.0355985
372.995	8.10926	0.0299982
375.995	8.42889	0.0287053
378.995	8.72846	0.0295006
381.995	9.0959	0.0329682
384.995	9.37148	0.0278727
387.996	9.72464	0.0305335
393.996	10.4181	0.0291646
429.996	13.4058	0.0267895
435.996	13.4293	0.0193857
438.995	13.4806	0.0459576
459.997	12.5406	0.0789825
462.997	12.0426	0.0856373
465.997	12.1221	0.0294975
468.997	12.3208	0.0343488
471.996	12.5812	0.030012
474.996	12.8832	0.0318331
477.995	13.2144	0.031856
480.996	13.5084	0.0256057
483.996	13.8007	0.0316374
486.996	14.138	0.0314754
489.996	14.4959	0.0375597
492.996	14.7783	0.0330028
498.997	15.4744	0.028685
501.996	15.8669	0.0273013
504.996	16.1826	0.0335671
507.996	16.5699	0.0315436
510.996	16.9148	0.0254809
513.996	17.2899	0.0257401
516.996	17.6412	0.0302727
519.996	18.0097	0.0350244
522.997	18.3772	0.0310044
525.997	18.7581	0.0313689
528.997	19.1047	0.0378169
531.996	19.4734	0.0346476
534.996	19.8526	0.03345
537.997	20.2155	0.0361943
540.996	20.6005	0.0275852
543.996	20.9952	0.030019
546.997	21.3771	0.0322105
